,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.88,0.81,0.68,0.53,1.09,0.69,0.67,0.0,0.7,0.58,0.55,0.85,0.62,0.46,0.6,0.56
elateportal.csv,1.0,0.98,0.54,0.54,0.75,0.84,0.87,0.76,0.87,0.72,0.6,0.0,0.84,0.92,0.68,0.44
gmerlin.csv,0.72,0.62,0.77,0.72,0.87,0.93,0.83,0.77,0.09,0.65,0.78,0.92,0.8,0.82,0.78,0.64
gretl.csv,0.92,0.59,0.45,0.07,1.09,0.98,0.79,0.57,0.79,0.78,0.74,0.69,0.67,1.0,0.64,0.87
illumination.csv,0.9,1.0,0.89,0.8,1.08,0.71,0.75,0.81,0.67,0.06,0.74,0.35,0.89,0.74,0.76,0.79
mpgravity.csv,0.64,0.83,0.17,0.57,1.22,0.83,0.77,0.72,0.58,0.77,0.59,0.11,0.52,0.85,0.62,0.42
nativeclient.csv,0.67,0.53,0.59,0.45,1.18,0.68,0.76,0.61,0.67,0.5,0.6,0.83,0.5,0.72,0.02,0.51
natpad.csv,0.78,0.85,0.85,0.83,1.12,0.8,0.75,0.64,0.6,0.8,0.61,0.51,0.68,1.02,0.69,0.05
ogre.csv,1.0,1.0,1.0,1.0,0.0,0.95,0.99,1.0,1.0,0.97,0.98,1.0,1.0,1.0,0.99,1.0
open-ms.csv,0.73,0.97,0.84,0.94,0.53,0.85,0.76,0.7,0.6,0.9,0.11,1.0,0.85,0.74,0.93,0.81
openmsx.csv,0.51,0.83,0.72,0.88,0.61,0.8,0.08,0.69,0.77,0.79,0.73,0.66,0.5,0.62,0.88,0.8
oppna-program-hsatools.csv,0.64,0.0,1.0,0.58,1.01,0.67,0.61,0.92,0.81,0.78,0.96,1.01,0.56,0.42,0.98,1.0
sandiaportals.csv,0.83,0.53,0.85,0.48,1.24,0.79,0.58,0.81,0.76,0.89,0.62,0.34,0.0,0.97,0.55,0.64
sauerbraten.csv,0.03,0.75,0.75,0.6,0.92,0.89,0.87,0.9,0.55,0.86,0.75,0.72,0.52,0.79,0.84,0.73
yarp.csv,0.92,0.76,0.86,0.86,0.67,0.04,0.7,0.58,0.82,0.84,0.79,1.01,0.75,0.86,0.77,0.69
zemljanka.csv,0.92,0.87,0.91,0.93,1.07,0.87,0.79,0.64,0.89,0.97,0.99,1.0,0.84,0.0,1.0,1.0
