,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.72,0.73,0.38,0.76,0.72,0.46,0.5,1.0,0.47,0.42,0.41,0.61,0.75,0.8,0.58,0.6
elateportal.csv,0.76,0.42,0.42,0.83,0.61,0.53,0.52,0.59,0.48,0.31,0.36,1.0,0.81,0.85,0.47,0.64
gmerlin.csv,0.43,0.55,0.27,0.43,0.23,0.12,0.27,0.38,0.95,0.43,0.28,0.16,0.33,0.34,0.35,0.48
gretl.csv,0.76,0.85,0.51,0.99,0.72,0.54,0.5,0.82,0.47,0.33,0.35,0.87,0.87,0.96,0.74,0.56
illumination.csv,0.2,0.24,0.17,0.35,0.75,0.52,0.44,0.45,0.41,0.97,0.26,0.92,0.26,0.79,0.56,0.31
mpgravity.csv,0.76,0.69,0.91,0.69,0.45,0.48,0.34,0.62,0.48,0.25,0.39,0.94,0.74,0.78,0.57,0.65
nativeclient.csv,0.78,0.64,0.44,0.74,0.53,0.42,0.36,0.69,0.42,0.44,0.38,0.3,0.67,0.69,0.99,0.63
natpad.csv,0.69,0.61,0.2,0.79,0.66,0.47,0.42,0.68,0.5,0.24,0.35,0.92,0.6,0.86,0.49,0.96
ogre.csv,0.76,0.9,0.37,0.91,1.0,0.58,0.58,0.85,0.49,0.35,0.33,0.94,0.85,0.98,0.74,0.57
open-ms.csv,0.56,0.71,0.29,0.6,0.91,0.23,0.44,0.58,0.46,0.14,0.93,0.92,0.51,0.42,0.14,0.32
openmsx.csv,0.68,0.76,0.29,0.43,0.78,0.57,0.96,0.49,0.31,0.24,0.28,0.69,0.7,0.56,0.44,0.3
oppna-program-hsatools.csv,0.52,1.0,0.34,0.83,0.92,0.48,0.5,0.84,0.44,0.33,0.34,0.88,0.78,0.85,0.73,0.57
sandiaportals.csv,0.78,0.69,0.2,0.76,0.42,0.54,0.57,0.53,0.33,0.18,0.36,0.94,1.0,0.45,0.64,0.62
sauerbraten.csv,0.99,0.4,0.4,0.59,0.37,0.18,0.21,0.18,0.56,0.17,0.26,0.45,0.68,0.72,0.27,0.45
yarp.csv,0.28,0.43,0.17,0.24,0.49,0.98,0.41,0.62,0.25,0.2,0.22,0.0,0.39,0.29,0.37,0.42
zemljanka.csv,0.78,0.89,0.37,0.89,0.75,0.57,0.52,0.81,0.51,0.35,0.32,0.94,0.85,1.0,0.73,0.56
