,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.41,0.0,0.42,0.22,0.4,0.31,0.71,0.11,0.72,0.5,0.52,0.54,0.43
gamestone.csv,0.17,0.87,0.17,0.44,0.4,0.0,0.31,0.17,0.1,0.1,0.32,0.25,0.55
gbif-providertoolkit.csv,0.29,0.27,0.36,0.57,0.72,0.28,0.28,0.47,0.35,0.0,0.0,0.63,0.37
growl-for-windows.csv,0.59,0.29,0.17,0.04,0.63,0.28,0.27,0.0,0.0,0.05,0.54,0.7,0.0
gss.csv,0.73,0.83,0.72,0.4,0.44,0.56,0.0,0.56,0.36,0.72,0.74,0.41,0.52
heekscad.csv,0.73,0.42,0.65,0.6,0.71,0.54,0.55,0.57,0.51,0.65,0.48,0.46,0.63
igarden.csv,0.59,0.42,0.48,0.67,0.59,0.64,0.63,0.32,0.84,0.55,0.51,0.26,0.49
levent.csv,0.67,0.15,0.0,0.0,0.63,0.68,0.0,0.0,0.0,0.0,0.62,0.72,0.0
openmsx.csv,0.68,0.56,0.41,0.67,0.17,0.44,0.58,0.63,0.35,0.32,0.37,0.54,0.35
pnotepad.csv,0.64,0.71,0.62,0.13,0.34,0.59,0.26,0.43,0.0,0.93,0.58,0.45,0.48
quark.csv,0.45,0.29,0.41,0.07,0.33,0.02,0.23,0.13,0.82,0.23,0.12,0.04,0.37
tango-cs.csv,0.0,0.58,0.47,0.4,0.17,0.02,0.54,0.34,0.0,0.35,0.2,0.66,0.62
xcsoar.csv,0.69,0.29,0.69,0.58,0.68,0.43,0.51,0.46,0.0,0.27,0.46,0.65,0.53
