,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,customsagetv.csv,xfce.csv,carabiner.csv,mesa3d.csv,trinitycore.csv,tencompetence.csv,oorexx.csv,elvishrayrenderer.csv
carabiner.csv,0.31,0.4,0.79,0.17,0.18,0.61,0.44,0.25,0.25,0.92,0.76,0.56,0.54,0.71,0.67,0.22,0.25,0.56,0.58,0.66
checker-framework.csv,0.32,0.4,0.89,0.15,0.29,0.67,0.55,0.45,0.22,0.87,0.82,0.53,0.61,0.78,0.3,0.23,0.21,0.67,0.59,0.64
customsagetv.csv,0.58,0.69,0.0,0.5,0.32,0.64,0.5,0.25,0.38,0.9,1.0,0.68,0.9,0.89,0.0,0.31,0.38,0.57,0.71,0.79
elvishrayrenderer.csv,0.33,0.52,0.79,0.17,0.19,0.17,0.62,0.29,0.26,0.96,0.64,0.65,0.59,0.68,0.6,0.27,0.26,0.62,0.67,0.92
guineu.csv,0.51,0.44,1.0,0.17,0.27,0.83,0.43,0.12,0.23,0.86,0.92,0.6,0.86,0.0,0.33,0.0,0.2,0.68,0.62,0.67
inkscape.csv,0.32,0.44,0.79,0.17,0.32,0.79,0.4,0.19,0.29,0.83,0.76,0.49,0.57,0.83,0.31,0.32,0.29,0.65,0.58,0.67
mesa3d.csv,0.33,0.41,0.91,0.4,0.24,0.64,0.54,0.12,0.29,0.89,1.0,0.54,0.16,0.78,0.4,0.36,0.28,0.55,0.6,0.64
nsis.csv,0.28,0.33,0.86,0.13,0.13,0.54,0.3,0.18,0.24,0.98,0.83,0.52,0.68,0.6,0.25,0.21,0.24,0.71,0.6,0.66
octave.csv,0.38,0.44,1.0,0.2,0.35,0.73,0.42,0.18,0.25,0.86,0.94,0.49,0.06,0.8,0.52,0.35,0.25,0.45,0.5,0.61
oorexx.csv,0.27,1.0,0.0,1.0,0.15,0.55,0.75,0.0,0.31,0.91,0.0,0.22,0.46,1.0,1.0,0.0,0.34,0.37,0.76,0.74
owfs.csv,0.3,0.4,0.89,0.23,0.21,0.6,0.4,0.27,0.26,0.94,0.82,0.55,0.4,0.73,0.35,0.32,0.26,0.63,0.61,0.72
owlib.csv,0.41,0.6,0.9,0.22,0.22,0.62,0.57,0.32,0.31,0.93,0.92,0.67,0.6,0.78,0.6,0.27,0.32,0.56,0.65,0.74
prelude.csv,0.3,0.4,0.95,0.18,0.19,0.6,0.43,0.24,0.27,0.88,0.84,0.5,0.6,0.73,0.3,0.26,0.27,0.66,0.61,0.69
robocode.csv,0.4,0.52,0.0,0.38,0.24,0.71,0.71,0.24,0.38,0.91,0.82,0.53,0.59,0.82,0.24,0.28,0.37,0.58,0.68,0.67
tencompetence.csv,0.4,0.36,0.89,0.14,0.21,0.33,0.25,0.17,0.06,1.0,0.76,0.69,0.88,0.62,0.15,0.19,0.08,0.83,0.52,0.7
trinitycore.csv,0.39,0.39,1.0,0.2,0.24,0.57,0.46,0.3,0.34,0.93,0.81,0.42,0.73,0.8,0.05,0.24,0.35,0.74,0.56,0.73
uwom-server.csv,0.29,0.38,1.0,0.17,0.3,0.71,0.42,0.22,0.37,0.92,0.9,0.31,0.64,0.82,0.4,0.3,0.38,0.68,0.63,0.76
xfce.csv,0.31,0.48,1.0,0.17,0.23,0.64,0.58,0.29,0.3,0.88,0.74,0.54,0.27,0.81,0.28,0.24,0.32,0.58,0.6,0.56
zengine.csv,0.31,0.4,0.86,0.17,0.18,0.58,0.45,0.18,0.27,0.92,0.97,0.51,0.58,0.73,0.31,0.28,0.27,0.65,0.6,0.65
zildo.csv,0.43,0.44,0.96,0.17,0.27,0.63,0.73,0.33,0.29,0.86,0.91,0.75,0.79,0.78,0.35,0.24,0.29,0.73,0.62,0.68
