,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.05,0.73,0.03,0.32,0.41,0.76,0.47,0.42,0.08,0.68,0.23,0.98,0.39,0.35,0.06,0.61
fleet-simulator.csv,0.05,0.71,0.09,0.96,0.5,0.62,0.48,0.53,0.07,0.55,0.29,0.99,0.44,0.41,0.37,0.82
geogebra.csv,0.12,0.62,0.08,0.26,0.45,0.14,0.52,0.42,0.12,0.5,0.25,0.54,0.42,0.53,0.05,0.74
gtad.csv,0.25,0.23,0.09,0.11,0.51,0.2,0.53,0.49,0.0,0.6,0.12,0.41,0.38,0.44,0.0,0.58
hibernate.csv,0.07,0.37,0.0,0.4,0.62,0.67,0.47,0.55,0.1,0.45,0.31,0.6,0.49,0.44,0.26,0.68
ipfire-wall.csv,0.29,0.26,0.0,0.25,0.74,0.14,0.52,0.26,0.11,0.44,0.08,0.41,0.34,0.41,0.13,0.55
irplus.csv,0.09,0.46,0.22,0.51,0.64,0.51,0.53,0.58,0.23,0.49,0.21,0.63,0.43,0.49,0.33,0.68
mumble.csv,0.15,0.6,0.0,0.37,0.0,0.47,0.75,0.41,0.04,0.4,0.28,0.99,0.4,0.34,0.33,0.44
ondex.csv,0.05,0.0,0.0,0.11,0.51,0.56,0.5,0.37,0.04,0.19,0.39,0.36,0.34,0.43,0.17,0.65
powerfolder.csv,0.12,0.37,0.0,0.29,0.5,0.62,0.51,0.37,0.45,0.36,0.24,0.55,0.42,0.32,0.25,0.66
projectts.csv,0.06,0.55,0.04,0.43,0.45,0.5,0.5,0.41,0.13,0.66,0.23,0.64,0.4,0.43,0.16,0.64
quantlib.csv,0.0,0.0,0.0,0.93,0.0,0.71,0.0,0.26,0.0,0.33,0.29,0.39,0.45,0.36,0.45,0.0
smartgwt.csv,0.07,0.58,0.09,0.7,0.52,0.52,0.48,0.38,0.36,0.67,0.25,0.06,0.36,0.37,0.28,0.77
tweetsharp.csv,0.0,0.59,0.03,0.62,0.29,0.73,0.49,0.4,0.02,0.12,0.25,0.26,0.38,0.22,0.24,0.82
wxlua.csv,0.03,0.63,0.0,0.93,0.49,0.74,0.34,0.07,0.48,0.72,0.21,0.06,0.1,0.18,0.32,0.83
