,f1,g,recall,precision,pf,wins
cubefs.csv,0.4,0.415,0.63,0.41000000000000003,0.385,11
fleet-simulator.csv,0.49,0.485,0.97,0.32,0.83,8
geogebra.csv,0.42,0.53,0.5349999999999999,0.385,0.36,12
gtad.csv,0.315,0.395,0.345,0.545,0.13,10
hibernate.csv,0.445,0.585,0.64,0.38,0.48,13
ipfire-wall.csv,0.275,0.32,0.275,0.4,0.175,2
irplus.csv,0.49,0.555,0.565,0.45999999999999996,0.33,14
mumble.csv,0.385,0.51,0.515,0.32,0.445,5
ondex.csv,0.35,0.38,0.38,0.375,0.25,4
powerfolder.csv,0.37,0.44,0.405,0.39,0.22,6
projectts.csv,0.43,0.505,0.53,0.37,0.385,9
quantlib.csv,0.275,0.0,0.26,0.19,0.32499999999999996,0
smartgwt.csv,0.375,0.57,0.585,0.36,0.495,7
tweetsharp.csv,0.275,0.405,0.46499999999999997,0.24,0.62,1
wxlua.csv,0.33,0.505,0.615,0.32,0.63,3
