,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.62,0.67,0.72,0.96,0.43,0.65,0.71,0.45,0.67,0.6,0.67,0.44,0.37,0.69,0.58
fmri-dmt.csv,0.74,0.67,0.68,0.98,0.51,0.49,0.83,0.93,0.73,0.58,0.48,0.59,0.8,0.61,0.47
ftm.csv,0.75,0.34,0.71,0.5,0.56,0.4,0.83,0.91,0.42,0.92,0.78,0.6,0.47,0.66,0.71
fulguro.csv,0.83,0.0,0.86,0.94,0.4,0.89,0.37,0.56,0.67,0.71,0.41,0.75,0.97,0.66,0.85
gss.csv,0.41,0.33,0.44,0.33,0.37,0.34,0.28,0.39,0.34,0.39,0.42,0.34,0.34,0.42,0.47
illumination.csv,0.0,0.0,0.0,0.0,0.37,0.42,0.36,0.46,0.0,0.68,0.32,0.0,0.0,0.58,0.0
ldview.csv,0.58,0.42,0.68,0.4,0.36,0.44,0.32,0.52,0.43,0.42,0.35,0.43,0.96,0.56,0.47
monetdb.csv,0.55,0.54,0.57,0.43,0.8,0.6,0.9,0.59,0.46,0.4,0.69,0.48,0.45,0.38,0.81
netatalk.csv,0.48,0.37,0.4,0.4,0.45,0.33,0.35,0.52,0.34,0.37,0.36,0.4,0.43,0.63,0.44
olex2.csv,0.53,0.37,0.0,0.55,0.4,0.62,0.43,0.61,0.57,0.9,0.75,0.45,0.4,0.48,0.76
qpe.csv,0.57,0.38,0.6,0.41,0.68,0.41,0.43,0.89,0.43,0.57,0.53,0.95,0.93,0.73,0.43
quark.csv,0.96,0.91,0.56,0.53,0.76,0.86,0.0,0.91,0.58,0.92,0.53,0.95,0.42,0.0,0.46
sepgsql.csv,0.58,0.56,0.67,0.5,0.76,0.5,0.73,0.7,0.47,0.63,0.57,0.53,0.47,0.78,0.44
synergyspace.csv,0.97,0.99,0.67,0.92,0.49,0.8,0.38,0.82,0.88,0.85,0.75,0.9,0.75,0.93,0.88
