,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.0,35.0,2.0,2.0,41.0,0.0,1.0,18.0,14.0,1.0,2.0,2.0,0.0,2.0,0.0
fmri-dmt.csv,0.0,54.0,0.0,3.0,117.0,1.0,2.0,0.0,16.0,8.0,0.0,4.0,1.0,3.0,2.0
ftm.csv,3.0,6.0,1.0,2.0,14.0,3.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,33.0,0.0
fulguro.csv,0.0,584.0,0.0,4.0,82.0,15.0,4.0,0.0,64.0,7.0,2.0,2.0,1.0,2.0,4.0
gss.csv,0.0,17.0,5.0,5.0,56.0,6.0,5.0,13.0,17.0,2.0,1.0,0.0,1.0,4.0,3.0
illumination.csv,499.0,584.0,57.0,145.0,95.0,8.0,2.0,6.0,64.0,1.0,1.0,130.0,131.0,3.0,89.0
ldview.csv,0.0,54.0,0.0,3.0,75.0,1.0,2.0,3.0,15.0,7.0,2.0,2.0,1.0,3.0,1.0
monetdb.csv,10.0,24.0,0.0,0.0,9.0,8.0,6.0,4.0,2.0,14.0,0.0,3.0,1.0,2.0,1.0
netatalk.csv,62.0,16.0,1.0,0.0,117.0,1.0,6.0,1.0,17.0,5.0,0.0,0.0,1.0,1.0,2.0
olex2.csv,0.0,54.0,57.0,2.0,73.0,1.0,2.0,7.0,14.0,7.0,2.0,0.0,1.0,14.0,0.0
qpe.csv,13.0,26.0,0.0,8.0,117.0,7.0,8.0,0.0,5.0,8.0,0.0,2.0,0.0,131.0,3.0
quark.csv,1.0,584.0,0.0,4.0,117.0,2.0,67.0,6.0,3.0,3.0,2.0,3.0,0.0,0.0,22.0
sepgsql.csv,11.0,6.0,0.0,0.0,7.0,1.0,8.0,3.0,2.0,11.0,1.0,4.0,2.0,20.0,2.0
synergyspace.csv,35.0,13.0,57.0,3.0,66.0,4.0,4.0,0.0,9.0,4.0,0.0,1.0,0.0,131.0,3.0
