,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.9,0.42,0.67,0.41,0.75,0.72,0.0,0.4,0.27,0.52,0.0,0.51
crisscross.csv,0.0,0.0,0.83,0.73,0.43,0.32,0.34,0.21,0.58,0.0,0.6,0.09
gabel.csv,0.51,0.36,0.6,0.54,0.13,0.39,0.29,0.24,0.87,0.07,0.43,0.49
jguard.csv,0.0,0.0,0.39,0.41,0.0,0.37,0.2,0.7,0.0,0.0,0.61,0.21
jitterbit.csv,0.54,0.0,0.56,0.51,0.56,0.69,0.43,0.49,0.38,0.35,0.4,0.51
mycila.csv,0.0,0.44,0.39,0.45,0.5,0.28,0.58,0.68,0.71,0.13,0.62,0.58
nova.csv,0.0,0.84,0.58,0.6,0.44,0.45,0.48,0.68,0.83,0.4,0.42,0.62
ontomorphtab.csv,0.78,0.0,0.0,0.69,0.24,0.49,0.45,0.6,0.75,0.21,0.52,0.13
tmva.csv,0.34,0.36,0.0,0.21,0.0,0.41,0.0,0.52,0.13,0.22,0.09,0.76
vienna-add-in.csv,0.0,0.7,0.58,0.59,0.37,0.61,0.7,0.4,0.14,0.54,0.47,0.6
vrjuggler.csv,0.55,0.18,0.12,0.41,0.44,0.33,0.52,0.4,0.0,0.63,0.43,0.12
wpdev.csv,1.0,0.58,0.53,0.45,0.46,0.17,0.09,0.0,0.0,0.45,0.0,0.0
