,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.4,0.82,0.49,0.42,0.43,0.5,0.38,0.4,0.46,0.44,0.37,0.49
crisscross.csv,0.4,0.42,0.49,0.46,0.78,0.4,0.42,0.4,0.44,0.36,0.42,0.44
gabel.csv,0.45,0.88,0.55,0.42,0.8,0.86,0.68,0.78,0.62,0.86,0.5,0.51
jguard.csv,0.42,0.42,0.5,0.49,0.32,0.43,0.4,0.62,0.46,0.36,0.45,0.45
jitterbit.csv,0.59,0.0,0.54,0.53,0.48,0.66,0.4,0.5,0.47,0.71,0.44,0.55
mycila.csv,0.47,0.73,0.51,0.62,0.33,0.58,0.46,0.47,0.51,0.38,0.74,0.71
nova.csv,0.57,0.5,0.66,0.44,0.39,0.41,0.39,0.49,0.39,0.68,0.5,0.62
ontomorphtab.csv,0.4,0.42,0.45,0.44,0.31,0.4,0.34,0.35,0.38,0.35,0.37,0.45
tmva.csv,0.65,0.83,0.45,0.41,0.32,0.44,0.4,0.5,0.44,0.95,0.35,0.5
vienna-add-in.csv,0.57,0.39,0.57,0.5,0.37,0.62,0.57,0.68,0.97,0.65,0.55,0.53
vrjuggler.csv,0.72,0.81,0.97,0.73,0.68,0.91,0.76,0.74,0.94,0.62,0.74,0.96
wpdev.csv,0.39,0.41,0.58,0.45,0.53,0.39,0.42,0.39,0.46,0.38,0.37,0.44
