,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.16,0.34,0.18,0.23,0.33,0.18,0.0,0.2,0.22,0.14
empserver.csv,0.32,0.45,0.45,0.49,0.0,0.74,0.37,0.5,0.7,0.36
enlightenment.csv,0.37,0.73,0.74,0.01,0.61,0.17,0.39,0.18,0.83,0.5
ffigo.csv,0.38,0.56,0.45,0.3,0.48,0.28,0.38,0.0,0.8,0.79
ildjit.csv,0.4,0.01,0.07,0.04,0.18,0.03,0.29,0.05,0.18,0.14
jfreereport.csv,0.75,0.53,0.0,0.67,0.67,0.61,0.05,0.66,0.31,0.79
mplayer-ce.csv,0.92,0.88,0.63,0.93,0.91,0.91,0.3,0.86,0.01,0.93
psycle.csv,0.01,0.69,0.77,0.77,0.88,0.63,0.52,0.73,0.8,0.5
wikipediardware.csv,0.4,0.64,0.84,0.67,0.91,0.78,0.81,0.66,0.71,0.07
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
