,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.29,0.32,0.33,0.41,0.4,0.43,0.9,0.29,0.38,0.33
empserver.csv,0.45,0.63,0.58,0.57,1.0,0.6,0.61,0.63,0.55,0.67
enlightenment.csv,0.55,0.44,0.58,0.97,0.59,0.0,0.66,0.57,0.47,0.68
ffigo.csv,0.45,0.23,0.63,0.49,0.48,0.0,0.67,0.98,0.5,0.39
ildjit.csv,0.23,0.92,0.11,0.02,0.26,0.29,0.39,0.04,0.24,0.04
jfreereport.csv,0.41,0.63,0.88,0.49,0.49,0.76,0.07,0.45,0.37,0.45
mplayer-ce.csv,0.3,0.39,0.59,0.27,0.31,0.33,0.48,0.42,0.96,0.26
psycle.csv,0.97,0.63,0.53,0.54,0.39,0.62,0.63,0.5,0.49,0.73
wikipediardware.csv,0.65,0.45,0.47,0.62,0.31,0.59,0.53,0.62,0.57,0.96
wxjs.csv,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.0,0.0
