,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.66,0.66,0.79,0.69,0.58,0.74,0.9,0.75,0.79,0.92
empserver.csv,0.61,0.6,0.51,0.51,0.53,0.38,0.55,0.5,0.44,0.42
enlightenment.csv,0.57,0.45,0.44,0.54,0.41,0.93,0.49,0.48,0.38,0.57
ffigo.csv,0.65,0.6,0.51,0.65,0.48,0.84,0.52,0.47,0.39,0.63
ildjit.csv,0.99,0.93,0.99,0.93,0.93,0.8,0.74,0.75,0.99,0.67
jfreereport.csv,0.74,0.69,0.99,0.69,0.62,0.57,0.95,0.64,0.92,0.6
mplayer-ce.csv,0.49,0.45,0.52,0.49,0.45,0.41,0.66,0.43,0.59,0.49
psycle.csv,0.49,0.43,0.43,0.46,0.43,0.4,0.5,0.45,0.36,0.39
wikipediardware.csv,0.44,0.38,0.41,0.45,0.43,0.37,0.4,0.38,0.35,0.47
wxjs.csv,0.0,0.0,0.0,0.67,0.0,0.88,0.0,0.5,0.0,0.0
