,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.25,0.28,0.29,0.37,0.36,0.38,0.88,0.25,0.34,0.29
empserver.csv,0.41,0.66,0.59,0.59,1.0,0.88,0.6,0.68,0.7,0.68
enlightenment.csv,0.53,0.52,0.83,0.97,0.67,0.0,0.68,0.53,0.86,0.74
ffigo.csv,0.42,0.21,0.65,0.46,0.47,0.0,0.68,0.97,0.81,0.5
ildjit.csv,0.2,0.9,0.09,0.02,0.22,0.25,0.35,0.03,0.2,0.03
jfreereport.csv,0.49,0.69,0.86,0.56,0.56,1.0,0.06,0.49,0.33,0.63
mplayer-ce.csv,0.91,0.9,0.69,0.89,0.83,1.0,0.45,0.84,0.95,0.79
psycle.csv,0.96,0.86,0.78,0.82,0.86,0.75,0.69,0.63,0.77,0.82
wikipediardware.csv,0.67,0.48,0.93,0.8,0.78,1.0,0.94,0.79,0.76,0.97
wxjs.csv,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.0,0.0
