,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.37,0.23,0.23,0.49,0.43,0.22,0.93,0.37,0.42,0.43
empserver.csv,0.52,0.41,0.26,0.61,1.0,0.17,0.41,0.69,0.55,0.75
enlightenment.csv,0.62,0.26,0.25,0.98,0.6,0.0,0.44,0.65,0.6,0.77
ffigo.csv,0.52,0.13,0.29,0.55,0.49,0.0,0.44,0.99,0.58,0.56
ildjit.csv,0.29,0.93,0.12,0.04,0.32,0.31,0.29,0.05,0.29,0.05
jfreereport.csv,0.52,0.4,0.92,0.55,0.51,0.23,0.1,0.52,0.39,0.66
mplayer-ce.csv,0.76,0.37,0.24,0.7,0.62,0.16,0.36,0.72,0.97,0.74
psycle.csv,0.98,0.41,0.23,0.69,0.65,0.17,0.38,0.62,0.56,0.82
wikipediardware.csv,0.71,0.27,0.25,0.7,0.6,0.19,0.38,0.73,0.58,0.97
wxjs.csv,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.0,0.0
