,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,1.0,10.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0
empserver.csv,1.0,13.0,9.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0
enlightenment.csv,5.0,19.0,2.0,0.0,1.0,97.0,0.0,0.0,0.0,0.0
ffigo.csv,2.0,19.0,1.0,0.0,1.0,97.0,3.0,0.0,0.0,0.0
ildjit.csv,4.0,0.0,22.0,0.0,4.0,2.0,9.0,1.0,5.0,2.0
jfreereport.csv,0.0,11.0,0.0,1.0,1.0,38.0,7.0,2.0,0.0,0.0
mplayer-ce.csv,0.0,11.0,2.0,1.0,1.0,42.0,8.0,1.0,0.0,0.0
psycle.csv,0.0,6.0,8.0,1.0,1.0,19.0,16.0,1.0,0.0,0.0
wikipediardware.csv,0.0,7.0,2.0,1.0,1.0,28.0,8.0,4.0,0.0,0.0
wxjs.csv,268.0,125.0,1341.0,0.0,68.0,0.0,355.0,119.0,627.0,51.0
