,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.91,0.82,0.77,0.74
google-caja.csv,0.94,0.82,0.84,0.74
itext.csv,0.91,1.0,0.79,0.76
plee-the-bear.csv,0.79,0.6,0.45,0.41
