,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.63,0.32,0.65,0.95,0.96,1.0,0.89,0.91,0.39,0.48,0.44,0.43
emono.csv,0.34,0.87,0.7,0.94,0.72,0.83,0.87,0.9,0.47,1.0,0.39,0.43
freedom-erp.csv,0.1,0.24,0.2,0.26,0.16,0.1,0.03,0.3,0.0,0.08,0.04,0.57
jchassis.csv,0.0,0.0,0.05,0.0,0.0,0.0,0.04,0.0,0.0,0.09,0.0,0.0
jmoney.csv,0.17,0.52,0.35,0.42,0.32,0.47,0.04,0.17,0.34,0.23,0.55,0.71
jmonkeyengine.csv,0.73,0.9,0.75,0.79,0.34,0.77,0.91,0.11,0.71,0.89,0.67,0.98
jsidplay2.csv,0.24,0.05,0.2,0.15,0.64,0.57,0.17,0.93,0.28,0.14,0.07,0.1
matrex.csv,0.22,0.19,0.1,0.02,0.2,0.33,0.16,0.29,0.06,0.02,0.12,0.21
mediate.csv,0.29,0.92,0.15,0.31,0.24,0.5,0.8,0.54,0.31,0.68,0.0,0.12
mesa3d.csv,0.32,0.48,0.3,0.27,0.08,0.7,0.28,0.27,0.46,0.17,0.28,0.62
pustefix.csv,0.51,0.21,0.05,0.26,0.42,0.13,0.17,0.14,0.48,0.39,0.77,0.43
reaper3d.csv,0.39,0.41,0.3,0.42,0.18,0.07,0.21,0.23,0.34,0.14,0.0,0.14
