,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.72,0.54,0.73,0.96,0.96,1.0,0.93,0.92,0.74,1.11,0.83,0.77
emono.csv,0.78,0.88,0.84,0.97,0.82,0.84,0.89,0.9,0.89,1.0,0.65,0.52
freedom-erp.csv,0.61,0.67,0.5,0.99,1.01,0.72,0.89,0.39,1.0,1.0,0.99,0.68
jchassis.csv,1.0,1.0,1.0,1.0,1.0,0.9,0.96,1.0,1.0,0.09,1.0,1.0
jmoney.csv,0.23,0.77,0.54,0.6,0.64,0.62,0.8,0.76,0.51,1.03,0.63,0.82
jmonkeyengine.csv,1.01,0.92,0.98,0.8,0.52,0.87,1.02,1.01,0.8,0.89,0.69,0.99
jsidplay2.csv,0.47,0.94,0.29,0.88,0.85,0.63,0.41,0.93,0.92,1.01,0.89,0.83
matrex.csv,0.27,0.54,0.6,1.0,0.91,0.51,0.24,0.62,0.88,1.0,0.69,0.76
mediate.csv,0.58,0.94,0.69,0.72,0.61,0.56,0.84,0.69,0.49,0.68,1.0,0.8
mesa3d.csv,0.86,0.89,0.84,0.51,0.84,0.88,0.87,0.7,0.59,1.01,0.59,0.75
pustefix.csv,0.83,0.9,0.83,0.51,0.5,0.93,0.93,0.86,0.89,0.64,0.78,0.61
reaper3d.csv,0.63,0.97,0.58,0.57,0.74,0.95,0.89,0.68,0.42,1.01,1.0,0.84
