,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.36,0.0,0.23,0.27,0.07,0.36,0.09,0.44,0.21,0.17,0.12,0.25,0.6
badtrinity-zero.csv,0.97,0.35,0.32,0.67,0.36,0.47,0.73,0.44,0.78,0.23,0.65,0.66,0.73
betoffice.csv,0.89,0.95,0.94,0.81,0.53,0.56,0.82,0.78,0.64,0.78,0.9,0.91,0.98
exordium.csv,0.17,0.08,0.15,0.09,0.22,0.31,0.21,0.44,0.28,0.27,0.14,0.23,0.49
fltk.csv,0.75,0.3,0.23,0.26,0.33,0.77,0.39,0.22,0.93,0.72,0.47,0.1,0.6
gabel.csv,0.19,0.08,0.17,0.15,0.11,0.23,0.25,0.22,0.33,0.21,0.33,0.06,0.42
genoviz.csv,0.11,0.0,0.04,0.0,0.02,0.02,0.0,0.0,0.24,0.11,0.06,0.01,0.09
irrlicht.csv,1.0,1.0,0.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.57,0.99,1.0
nug.csv,0.22,0.08,0.4,0.03,0.64,0.28,0.41,0.56,0.53,0.25,0.2,0.63,0.44
rezilla.csv,0.92,0.22,0.73,0.42,0.53,0.3,0.52,1.0,0.41,0.23,0.51,0.65,0.76
toped.csv,0.75,0.95,0.74,0.85,0.44,0.95,0.82,0.0,0.9,0.89,0.76,0.5,0.91
xmemcached.csv,0.5,1.0,0.87,0.69,0.56,0.22,0.93,0.89,0.66,0.98,0.78,0.69,0.93
zoolib.csv,0.22,0.12,0.11,0.09,0.49,0.5,0.3,0.33,0.59,0.14,0.27,0.23,0.36
