,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.0,0.45,0.44,0.0,0.82,0.6,0.09,0.0,0.0,0.24,0.38,0.07,0.66,0.0,0.15,0.2,0.0
fontforge.csv,0.57,0.47,0.59,0.53,0.82,0.57,0.04,0.71,0.24,0.66,0.74,0.16,0.72,0.55,0.15,0.22,0.48
glas.csv,0.58,0.49,0.66,0.39,0.71,0.56,0.06,0.65,0.26,0.35,0.82,0.15,0.71,0.62,0.26,0.2,0.5
gmerlin.csv,0.0,0.46,0.6,0.52,0.0,0.58,0.04,0.0,0.24,0.0,0.86,0.18,0.82,0.58,0.15,0.0,0.58
hannosset.csv,0.58,0.22,0.45,0.07,0.75,0.33,0.0,0.41,0.21,0.34,0.33,0.12,0.3,0.17,0.38,0.11,0.44
hatari.csv,0.54,0.57,0.68,0.5,0.7,0.51,0.05,0.56,0.23,0.66,0.6,0.18,0.56,0.48,0.18,0.22,0.41
jaolt.csv,0.57,0.53,0.57,0.44,0.21,0.43,0.12,0.6,0.36,0.3,0.85,0.14,0.77,0.14,0.1,0.09,0.41
jcl.csv,0.68,0.49,0.58,0.41,0.8,0.53,0.05,0.55,0.18,0.54,0.72,0.18,0.57,0.14,0.31,0.3,0.48
ltp.csv,0.39,0.44,0.59,0.51,0.79,0.53,0.0,0.39,0.2,0.59,0.75,0.21,0.64,0.41,0.17,0.22,0.35
mia.csv,0.49,0.23,0.44,0.43,0.08,0.34,0.08,0.6,0.15,0.62,0.54,0.32,0.28,0.05,0.0,0.15,0.41
net-snmp.csv,0.66,0.48,0.61,0.38,0.71,0.5,0.1,0.61,0.26,0.46,0.75,0.23,0.48,0.53,0.08,0.12,0.4
opde.csv,0.62,0.44,0.62,0.59,0.82,0.56,0.09,0.64,0.25,0.0,0.75,0.17,0.71,0.46,0.13,0.19,0.35
oppna-program-hsatools.csv,0.64,0.55,0.61,0.53,0.82,0.52,0.05,0.59,0.24,0.65,0.93,0.17,0.7,0.47,0.3,0.22,0.45
powerfolder-.csv,0.57,0.66,0.63,0.44,0.4,0.4,0.09,0.56,0.3,0.55,0.61,0.16,0.5,0.36,0.3,0.24,0.49
qlc.csv,0.23,0.51,0.35,0.47,0.8,0.54,0.13,0.36,0.35,0.61,0.4,0.16,0.63,0.35,0.18,0.28,0.1
tcl.csv,0.43,0.35,0.51,0.47,0.65,0.49,0.0,0.0,0.23,0.7,0.76,0.1,0.77,0.54,0.08,0.0,0.19
