,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.27,0.82,0.0,0.44,0.2,0.01,0.67,0.07,0.83,0.35,1.0,0.5,0.65,0.33,1.0,0.54,0.89,0.75,0.68
auber.csv,0.1,0.73,0.0,0.3,0.12,0.0,0.55,0.17,0.83,0.32,0.47,0.3,1.0,0.35,0.97,0.46,0.62,0.74,0.48
cortex-vfx.csv,0.2,0.81,0.0,0.41,0.16,0.01,0.5,0.0,0.87,0.37,0.49,0.58,0.52,1.0,1.0,0.6,0.73,0.71,0.4
empserver.csv,0.15,0.72,0.0,0.31,0.22,0.0,0.97,0.27,0.72,0.31,0.42,0.33,0.57,0.25,1.0,0.53,0.65,0.75,0.42
flylegacy.csv,0.16,0.98,0.0,0.29,0.08,0.0,0.67,0.2,0.71,0.34,0.38,0.43,0.58,0.27,1.0,0.57,0.73,0.7,0.47
galaxium.csv,0.2,0.78,0.0,0.0,0.17,0.0,0.53,0.0,1.0,0.29,0.59,1.0,0.5,0.2,1.0,0.6,0.43,0.75,0.8
growl-for-windows.csv,0.09,0.72,0.0,0.32,0.16,0.0,0.59,0.2,0.71,0.43,0.34,0.33,0.5,0.31,0.98,0.5,1.0,0.79,0.42
k3d.csv,0.23,0.93,0.0,0.33,1.0,0.0,0.52,0.0,1.0,0.45,0.55,0.5,0.86,0.08,1.0,0.83,0.8,0.0,0.42
libarchive.csv,0.21,0.8,0.0,0.3,0.16,0.01,0.58,0.21,0.86,0.67,0.48,0.49,0.72,0.29,1.0,0.59,0.82,0.6,1.0
linux-ntfs.csv,0.22,0.73,0.0,0.28,0.13,0.01,0.54,0.2,0.85,0.34,0.4,0.34,0.57,0.28,1.0,1.0,0.63,0.62,0.48
m-a-d-n-e-s-s.csv,0.2,0.83,0.0,0.5,0.13,0.0,0.67,0.19,0.76,1.0,0.47,0.33,0.65,0.26,0.96,0.57,0.84,0.82,0.68
novembre.csv,0.18,0.88,0.0,1.0,0.31,0.0,0.0,0.14,0.62,0.41,0.32,0.2,0.65,0.39,1.0,1.0,0.62,0.85,0.8
qtwin.csv,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st-filteredstatistics.csv,0.19,0.71,0.0,0.29,0.17,0.0,0.53,0.21,0.97,0.46,0.42,0.39,0.54,0.34,1.0,0.48,0.67,0.75,0.56
tweetsharp.csv,0.13,0.77,0.0,0.31,0.13,0.0,0.6,0.18,0.68,0.29,0.25,0.26,0.53,0.26,0.97,0.51,0.68,1.0,0.38
unladen-swallow.csv,0.78,0.77,0.0,0.25,0.06,0.0,0.42,0.14,0.73,0.23,0.31,0.16,0.38,0.0,0.98,0.67,0.66,0.5,0.39
wishmaster.csv,0.17,0.86,0.0,0.24,0.08,0.01,0.5,1.0,0.75,0.26,0.39,0.33,0.58,0.21,0.98,0.47,0.67,0.67,0.46
