,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.68,0.0,0.61,0.7,0.45,0.64,0.77,0.78,0.53,0.54,0.78,0.14,0.66
bdbbasic.csv,0.41,0.61,0.46,0.48,0.0,0.39,0.38,0.62,0.5,0.38,0.52,0.14,0.34
foursquared.csv,0.03,0.24,0.12,0.0,0.06,0.07,0.05,0.12,0.19,0.01,0.08,0.0,0.03
impala.csv,0.41,0.59,0.51,0.63,0.8,0.64,0.69,0.0,0.48,0.92,0.69,0.79,0.86
jicarilla.csv,0.05,0.35,0.08,0.04,0.22,0.23,0.29,0.04,0.13,0.02,0.18,0.21,0.31
ng4j.csv,0.22,0.45,0.44,0.5,0.12,0.32,0.32,0.47,0.68,0.66,0.48,0.29,0.02
open-data-kit.csv,0.24,0.0,0.53,0.72,0.51,0.0,0.56,0.73,0.4,0.48,0.48,0.29,0.41
pentahoanalysistool.csv,0.14,0.02,0.0,0.15,0.0,0.18,0.05,0.14,0.09,0.01,0.06,0.07,0.02
tradelink.csv,0.19,0.45,0.12,0.04,0.14,0.05,0.05,0.14,0.23,0.01,0.0,0.29,0.05
turbotrader-bos.csv,0.11,0.61,0.51,0.24,0.59,0.05,0.07,0.2,0.0,0.03,0.65,0.43,0.61
ultimairis.csv,0.73,1.0,0.76,0.87,0.55,0.8,0.83,0.98,0.72,0.0,0.71,1.0,0.58
wikipediardware.csv,0.84,0.94,0.85,0.89,0.86,0.8,0.84,0.98,0.95,0.95,0.84,0.0,0.95
yafdotnet.csv,0.41,1.0,0.69,0.59,0.78,0.64,0.0,0.62,0.62,0.32,0.84,0.86,0.78
