,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.33,0.46,0.01,0.63,0.67,0.71,0.5,0.33,0.32
atlc.csv,0.88,0.67,0.69,0.54,0.37,0.83,0.57,0.41,0.49,0.74
ipfilter.csv,0.41,1.0,0.76,0.73,0.41,0.83,1.0,0.91,0.8,0.58
jmol.csv,0.66,0.33,0.94,0.7,1.0,0.97,1.0,0.96,0.65,0.74
pfaedit.csv,0.0,0.67,0.76,0.58,0.44,0.27,0.57,0.07,0.53,0.21
rockbox.csv,0.0,1.0,0.5,0.47,0.26,0.37,0.71,0.2,0.36,0.79
snakeyaml.csv,0.61,1.0,0.63,0.47,0.74,0.47,0.57,0.5,0.51,0.26
theresa.csv,0.2,1.0,0.74,0.5,0.78,0.37,0.57,0.43,0.42,0.32
trinitycore.csv,0.07,1.0,0.07,0.11,0.15,0.1,0.57,0.04,0.67,0.26
wxcode.csv,0.1,0.67,0.46,0.29,0.22,0.57,1.0,0.37,0.36,0.16
