,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.24,0.17,0.0,0.85,0.14,0.18,0.16,0.17,0.19
atlc.csv,0.24,0.7,0.6,0.61,0.44,0.73,0.5,0.37,0.5,0.72
ipfilter.csv,0.76,0.86,0.8,0.74,0.73,0.79,0.71,0.05,0.81,0.69
jmol.csv,0.52,0.24,0.91,0.35,0.99,0.71,0.59,0.84,0.51,0.53
pfaedit.csv,0.0,0.3,0.17,0.57,0.28,0.14,0.17,0.0,0.35,0.09
rockbox.csv,0.0,0.34,0.29,0.35,0.13,0.25,0.33,0.11,0.25,0.28
snakeyaml.csv,0.21,0.28,0.37,0.39,0.2,0.3,0.22,0.74,0.26,0.16
theresa.csv,0.07,0.24,0.34,0.17,0.37,0.2,0.18,0.47,0.22,0.06
trinitycore.csv,0.07,0.5,0.11,0.17,0.06,0.24,0.28,0.11,0.34,0.12
wxcode.csv,0.0,0.26,0.2,0.04,0.03,0.26,0.18,0.0,0.17,0.06
