,lamp.csv,sevenupdate.csv,retromenu.csv,intact.csv,jbpm.csv,rohxel.csv,jpaul.csv,encog-cs.csv,stemkit.csv,panda3d.csv,soar.csv,jchassis.csv,gephex.csv,opendvr.csv,mevenide.csv,thedata.csv
encog-cs.csv,0.0,0.59,0.45,0.35,0.55,0.0,0.2,0.66,0.17,0.6,0.29,0.0,0.54,0.27,0.63,0.6
gephex.csv,0.44,0.63,0.17,0.27,0.59,0.48,0.64,0.5,0.05,0.45,0.0,0.0,0.75,0.24,0.63,0.13
intact.csv,0.4,0.63,0.63,0.68,0.41,0.35,0.63,0.65,0.0,0.18,0.15,0.0,0.45,0.21,0.49,0.29
jbpm.csv,0.0,0.12,0.48,0.0,0.79,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.12,0.29
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.12,0.0
jpaul.csv,0.0,0.0,0.34,0.0,0.51,0.22,0.8,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.43,0.0
lamp.csv,0.66,0.48,0.09,0.52,0.64,0.62,0.68,0.61,0.0,0.56,0.29,0.0,0.27,0.44,0.51,0.33
mevenide.csv,0.0,0.17,0.56,0.0,0.51,0.0,0.63,0.04,0.0,0.31,0.47,0.55,0.07,0.06,0.79,0.29
opendvr.csv,0.55,0.0,0.66,0.44,0.74,0.35,0.14,0.53,0.0,0.59,0.0,0.0,0.4,0.68,0.32,0.29
panda3d.csv,0.52,0.35,0.45,0.6,0.63,0.29,0.85,0.18,0.0,0.66,0.28,0.41,0.57,0.06,0.68,0.0
retromenu.csv,0.41,0.35,0.83,0.0,0.12,0.06,0.64,0.52,0.0,0.0,0.04,0.0,0.05,0.11,0.17,0.29
rohxel.csv,0.39,0.42,0.47,0.41,0.12,0.66,0.33,0.28,0.37,0.35,0.4,0.0,0.29,0.27,0.2,0.0
sevenupdate.csv,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.13,0.05,0.05,0.0,0.0,0.21,0.0,0.0,0.09
soar.csv,0.29,0.38,0.46,0.35,0.41,0.56,0.4,0.48,0.05,0.09,0.69,0.09,0.35,0.09,0.49,0.09
stemkit.csv,0.25,0.05,0.28,0.27,0.48,0.24,0.0,0.34,0.69,0.39,0.23,0.8,0.12,0.43,0.17,0.0
thedata.csv,0.69,0.0,0.47,0.51,0.33,0.55,0.43,0.09,0.57,0.53,0.0,0.0,0.42,0.46,0.42,0.98
