,lamp.csv,sevenupdate.csv,retromenu.csv,intact.csv,jbpm.csv,rohxel.csv,jpaul.csv,encog-cs.csv,stemkit.csv,panda3d.csv,soar.csv,jchassis.csv,gephex.csv,opendvr.csv,mevenide.csv,thedata.csv
encog-cs.csv,0.4,0.45,0.59,0.35,0.46,0.36,0.46,0.47,0.37,0.46,0.4,0.5,0.35,0.63,0.43,0.42
gephex.csv,0.56,0.7,0.35,0.35,0.48,0.37,0.5,0.59,0.37,0.52,0.0,0.44,0.51,0.47,0.47,0.38
intact.csv,0.55,0.42,0.34,0.55,0.48,0.6,0.41,0.49,0.92,0.74,0.67,0.67,0.51,0.56,0.51,0.71
jbpm.csv,0.0,0.8,0.67,0.0,0.77,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.8,0.75
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.75,0.0
jpaul.csv,0.0,0.0,0.86,0.0,0.87,0.86,0.5,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.95,0.9
lamp.csv,0.65,0.58,0.34,0.49,0.56,0.4,0.45,0.54,0.36,0.39,0.4,0.47,0.71,0.56,0.62,0.37
mevenide.csv,0.0,0.88,0.58,0.0,0.98,0.0,0.56,0.5,0.0,0.59,0.31,0.83,0.86,0.5,0.74,0.89
opendvr.csv,0.54,0.42,0.47,0.59,0.49,0.6,0.62,0.6,0.94,0.49,0.0,0.64,0.78,0.69,0.63,0.9
panda3d.csv,0.57,0.71,0.57,0.5,0.7,0.73,0.53,0.96,0.0,0.62,0.36,0.57,0.44,0.5,0.61,0.88
retromenu.csv,0.95,0.41,0.35,0.0,0.97,0.5,0.54,0.45,0.5,0.86,0.5,0.67,0.67,0.5,0.91,0.82
rohxel.csv,0.5,0.58,0.57,0.66,0.67,0.47,0.85,0.96,0.58,0.87,0.38,0.67,0.74,0.59,0.9,0.8
sevenupdate.csv,0.4,0.58,0.34,0.33,0.41,0.36,0.45,0.36,0.36,0.44,0.36,0.5,0.36,0.44,0.45,0.37
soar.csv,0.44,0.57,0.48,0.39,0.45,0.39,0.48,0.57,0.36,0.45,0.67,0.51,0.39,0.45,0.49,0.37
stemkit.csv,0.91,0.67,0.83,0.8,0.85,0.77,0.0,0.93,0.74,0.66,0.89,0.49,0.93,0.79,0.93,0.93
thedata.csv,0.4,0.41,0.37,0.62,0.53,0.49,0.52,0.36,0.37,0.41,0.36,0.66,0.35,0.46,0.6,0.89
