,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.9,0.76,0.93,0.64,0.82,0.77,0.79,0.03,0.7,0.71,0.6,0.94,0.77,0.87,0.73,0.8
chipster.csv,0.61,0.7,0.01,0.49,0.75,0.7,0.59,0.71,0.51,0.71,0.96,0.81,0.85,0.76,0.52,0.37
delphilhlplib.csv,0.67,0.63,0.65,0.06,0.73,0.84,0.86,0.66,0.62,0.55,0.81,0.71,0.66,0.52,0.63,1.1
emite.csv,0.49,0.74,0.74,0.65,0.78,0.67,0.84,0.69,0.66,0.82,0.71,0.03,0.78,0.63,0.7,0.45
hydrate.csv,0.73,0.8,0.85,0.85,0.79,0.67,0.73,0.77,0.47,0.78,0.87,0.94,0.85,0.65,0.0,1.18
ivataopenportal.csv,0.82,0.79,0.68,0.54,0.03,0.65,0.87,0.85,0.67,0.57,0.74,0.57,0.62,0.64,0.5,0.73
jppf-project.csv,0.98,0.93,0.91,1.03,0.94,0.97,0.0,0.91,0.85,1.0,0.95,0.98,0.93,0.97,0.95,0.93
kolmafia.csv,0.89,0.68,0.67,0.77,0.66,0.65,0.63,0.62,0.0,0.69,0.66,0.89,0.64,0.55,0.54,0.71
l2j.csv,0.74,0.62,0.58,0.62,0.69,0.84,0.67,0.65,0.59,0.75,0.68,0.54,0.0,0.58,0.69,1.21
mb-unit.csv,0.69,0.06,0.64,0.55,0.76,0.87,0.82,0.64,0.67,0.62,0.87,0.69,0.76,0.63,0.64,0.99
opde.csv,0.04,0.88,0.85,1.01,0.68,0.85,0.81,0.57,0.56,0.98,0.89,0.64,0.76,0.59,0.55,0.47
pamguard.csv,0.61,0.73,0.62,0.45,0.69,0.03,0.6,0.6,0.58,0.72,0.74,0.68,0.77,0.67,0.58,0.85
quark.csv,0.96,0.98,0.94,0.98,0.94,0.93,1.0,0.94,0.96,0.0,0.97,1.0,0.95,0.97,1.0,1.0
stajistics.csv,1.0,0.81,0.65,0.79,0.86,0.85,0.77,0.71,0.66,0.84,0.78,0.81,0.76,0.07,0.6,1.05
tigermud.csv,0.86,0.84,0.84,0.78,0.98,0.94,0.88,0.87,0.83,0.59,0.1,0.9,0.87,0.76,0.66,0.78
