,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,0.35,0.53,0.0,0.21,0.63,0.39,0.68,0.86,0.9,0.29,0.86,0.38,0.14,0.77,0.59,0.72,1.0
botsnscouts.csv,0.4,0.34,0.75,0.18,0.22,0.26,0.76,0.44,0.98,0.3,0.62,0.48,0.24,0.79,0.34,0.93,0.77
cities3d.csv,0.36,0.43,0.28,0.19,0.52,0.27,0.5,0.86,1.0,0.26,1.0,0.4,0.12,0.79,0.5,0.59,0.87
dynalloy.csv,0.62,0.23,0.07,0.09,0.43,0.29,0.5,0.56,0.98,0.07,0.63,0.37,0.32,0.74,0.37,0.94,0.79
electric-core.csv,0.44,0.42,0.07,0.12,0.46,0.28,0.58,0.61,0.97,0.19,0.61,0.39,0.3,0.69,0.41,0.92,0.8
findbugs.csv,0.44,0.44,0.0,0.15,0.58,0.33,0.58,0.83,0.89,0.23,0.88,0.39,0.4,0.82,0.56,0.89,0.86
img-browse-sort.csv,0.43,0.22,0.0,0.11,0.69,0.27,0.71,0.72,0.92,0.28,0.8,0.43,0.53,0.75,0.56,0.91,0.92
jparsec.csv,0.37,0.21,0.25,0.09,0.38,0.25,0.55,0.36,0.98,0.23,0.56,0.66,0.31,0.67,0.37,0.89,0.78
moast.csv,0.48,0.14,0.0,0.07,0.27,0.33,0.49,0.36,0.97,0.17,0.71,0.39,0.23,0.56,0.47,0.99,0.75
mptvseries.csv,0.55,0.58,0.0,0.16,0.64,0.48,0.7,0.71,0.83,0.09,0.92,0.43,0.44,0.73,0.44,0.0,0.95
mvnforum.csv,0.5,0.12,0.0,0.0,0.44,0.43,0.48,0.43,0.97,0.17,0.59,0.37,0.21,0.57,0.48,0.99,0.62
nosleepsoftware.csv,0.43,0.3,0.52,0.05,0.18,0.2,0.0,0.19,1.0,0.0,0.11,0.0,0.11,0.58,0.0,0.22,0.33
ogre.csv,0.38,0.19,0.3,0.07,0.24,0.21,0.53,0.29,1.0,0.15,0.46,0.45,0.23,0.67,0.41,0.88,0.71
openfrag.csv,0.37,0.38,0.0,0.15,0.68,0.42,0.58,0.81,0.89,0.16,0.8,0.39,0.34,0.77,0.37,0.9,0.85
qdvdauthor.csv,0.37,0.39,0.18,0.07,0.5,0.37,0.4,0.36,0.95,0.13,0.57,0.42,0.24,0.75,0.34,0.99,0.76
sumatrapdf.csv,0.37,0.22,0.23,0.09,0.42,0.31,0.5,0.71,0.96,0.18,0.54,0.4,0.26,0.72,0.38,0.89,0.8
zxing.csv,0.43,0.53,0.18,0.17,0.5,0.34,0.71,0.85,0.96,0.23,0.62,0.46,0.27,0.8,0.45,0.71,0.88
