,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.55,0.56,0.64,0.94,0.59,0.94,0.92,0.66,0.8,0.75,0.5
freedom-erp.csv,0.5,0.0,0.74,0.0,0.86,0.0,0.5,0.41,0.5,0.5,0.0
haggle.csv,0.83,0.46,0.81,0.55,0.75,0.48,0.49,0.93,0.7,0.71,0.88
jchassis.csv,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
jmoney.csv,0.53,0.83,0.56,0.91,0.71,0.95,0.72,0.96,0.83,0.83,0.0
jsidplay2.csv,0.55,0.78,0.41,0.81,0.43,0.83,0.57,0.3,0.43,0.52,0.5
madman.csv,0.0,0.5,0.0,0.88,0.8,0.75,0.67,0.0,0.88,0.0,0.0
matrex.csv,0.44,0.5,0.42,0.67,0.58,0.93,0.45,0.37,0.8,0.83,0.0
mediate.csv,0.59,0.83,0.42,0.65,0.49,0.94,0.46,0.34,0.89,0.65,0.5
primefaces.csv,0.44,0.46,0.61,0.58,0.76,0.51,0.51,0.9,0.67,0.47,0.42
tmva.csv,0.52,0.48,0.54,0.45,0.4,0.52,0.47,0.32,0.46,0.56,0.38
