,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.24,0.0,0.1,0.17,0.37,0.07,0.04,0.1,0.06,0.06,0.0
freedom-erp.csv,0.02,0.0,0.1,0.02,0.07,0.0,0.0,0.01,0.02,0.03,0.0
haggle.csv,0.15,0.43,0.25,0.0,0.1,0.5,0.49,0.07,0.12,0.26,0.11
jchassis.csv,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
jmoney.csv,0.0,0.08,0.1,0.12,0.2,0.02,0.07,0.24,0.08,0.09,0.0
jsidplay2.csv,0.27,0.41,0.0,0.32,0.53,0.2,0.4,0.97,0.88,0.35,0.48
madman.csv,0.0,0.0,0.05,0.02,0.07,0.02,0.0,0.01,0.0,0.0,0.0
matrex.csv,0.46,0.02,0.2,0.02,0.3,0.02,0.01,0.49,0.08,0.09,0.0
mediate.csv,0.17,0.22,0.2,0.32,0.0,0.05,0.36,0.63,0.18,0.3,0.37
primefaces.csv,0.78,0.82,0.6,0.88,0.4,0.97,0.57,0.14,0.53,0.45,0.0
tmva.csv,0.41,0.73,0.35,0.56,0.47,0.02,0.41,0.77,0.63,0.48,0.7
