,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.5,1.0,0.49,0.2,0.53,0.13,0.21,0.49,0.31,0.0,0.1
freedom-erp.csv,0.09,0.0,0.44,0.0,0.22,0.0,0.05,0.99,0.2,0.0,0.0
haggle.csv,0.37,0.52,0.29,1.0,0.05,0.52,0.53,0.18,0.44,0.0,0.21
jchassis.csv,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0
jmoney.csv,0.97,0.12,0.42,0.14,0.39,0.21,0.47,0.18,0.29,0.0,0.05
jsidplay2.csv,0.52,0.22,1.0,0.36,0.64,0.54,0.51,0.74,0.15,0.0,0.39
madman.csv,0.0,0.14,0.0,0.17,0.14,0.04,0.08,0.0,1.0,0.0,0.0
matrex.csv,0.5,0.07,0.63,0.05,0.48,0.15,0.99,0.66,0.15,0.0,0.0
mediate.csv,0.54,0.31,0.63,0.47,0.97,0.43,0.57,0.75,0.0,0.0,0.48
primefaces.csv,0.3,0.5,0.54,0.58,0.3,0.74,0.46,0.0,0.06,0.0,1.0
tmva.csv,0.36,0.38,0.62,0.57,0.71,0.99,0.59,0.74,0.27,0.0,0.52
