,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.99,0.6,0.61,0.51,0.61,0.39,0.1,0.49,0.58,0.74
clamav.csv,0.57,0.53,0.63,0.51,0.68,0.21,0.0,0.96,0.44,0.56
dvd-create.csv,0.57,0.49,0.66,0.62,0.97,0.61,0.45,0.62,0.52,0.62
gbif-indexingtoolkit.csv,0.26,0.42,0.37,0.42,0.27,1.0,0.0,0.38,0.23,0.6
go.csv,0.68,0.62,1.0,0.46,0.57,0.55,0.1,0.69,0.59,0.61
kwave.csv,0.4,0.56,0.09,1.0,0.54,0.39,0.2,0.0,0.14,0.26
libarchive.csv,0.57,0.56,0.65,0.51,0.46,0.53,0.29,0.58,0.57,0.93
liferea.csv,0.27,1.0,0.16,0.22,0.47,0.49,0.1,0.29,0.18,0.31
linux-ntfs.csv,0.51,0.27,0.47,0.43,0.5,0.66,0.2,0.52,0.98,0.6
mpgravity.csv,0.73,0.53,0.54,0.41,0.52,0.65,1.0,0.49,0.72,0.63
