,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.44,0.36,0.4,0.44,0.41,0.46,0.67,0.56,0.38,0.46
clamav.csv,0.37,0.4,0.45,0.45,0.38,0.54,0.0,0.58,0.44,0.53
dvd-create.csv,0.37,0.31,0.39,0.42,0.41,0.35,0.5,0.38,0.39,0.5
gbif-indexingtoolkit.csv,0.95,0.82,0.69,0.81,0.86,0.91,0.0,0.67,0.8,0.64
go.csv,0.41,0.44,0.45,0.52,0.53,0.41,0.8,0.44,0.42,0.55
kwave.csv,0.8,0.44,0.41,0.94,0.45,0.57,0.71,0.39,0.86,0.47
libarchive.csv,0.54,0.38,0.47,0.44,0.55,0.38,0.83,0.47,0.43,0.56
liferea.csv,0.86,0.77,0.95,0.81,0.51,0.6,0.5,0.64,0.88,0.75
linux-ntfs.csv,0.62,0.92,0.55,0.57,0.61,0.65,0.8,0.61,0.55,0.6
mpgravity.csv,0.44,0.36,0.51,0.53,0.42,0.41,0.75,0.45,0.47,0.5
