,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.03,0.61,0.44,0.46,0.28,0.4,0.05,0.25,0.59,0.32
clamav.csv,0.3,0.52,0.33,0.45,0.33,0.44,0.0,0.0,0.48,0.31
dvd-create.csv,0.73,0.8,0.69,0.64,0.0,0.64,0.68,0.67,0.76,0.62
gbif-indexingtoolkit.csv,0.07,0.27,0.47,0.27,0.22,0.0,0.0,0.47,0.0,0.49
go.csv,0.5,0.57,0.02,0.43,0.33,0.64,0.1,0.36,0.69,0.38
kwave.csv,0.37,0.68,0.98,0.0,0.78,0.38,0.37,1.0,0.14,0.93
libarchive.csv,0.27,0.59,0.42,0.43,0.5,0.8,0.07,0.5,0.45,0.0
liferea.csv,0.13,0.0,0.24,0.23,0.28,0.2,0.02,0.25,0.14,0.1
linux-ntfs.csv,0.43,0.23,0.49,0.59,0.44,0.26,0.32,0.56,0.1,0.38
mpgravity.csv,0.4,0.8,0.33,0.68,0.72,0.64,0.0,0.78,0.55,0.63
