,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,0.67,0.58,0.29,0.31,0.23,0.3,0.51,0.21,0.13,0.16,0.35,0.33,0.49,0.92,0.74,0.43,0.14,0.55
archive-crawler.csv,0.24,0.48,0.39,0.17,0.2,0.06,0.38,0.68,0.08,0.3,0.24,0.98,0.5,0.37,0.59,0.45,0.07,0.21
customwars.csv,0.24,0.37,0.53,0.08,0.08,0.21,0.28,0.51,0.04,0.24,0.94,0.23,0.36,0.09,0.12,0.49,0.25,0.42
gbif-providertoolkit.csv,0.43,0.1,0.35,0.27,0.28,0.92,0.25,0.15,0.43,0.36,0.29,0.19,0.07,0.24,0.17,0.25,0.06,0.18
gss.csv,0.75,0.68,0.56,0.22,0.34,0.32,0.58,0.75,0.18,0.53,0.28,0.44,0.58,0.52,0.73,0.77,0.12,0.98
heekscad.csv,0.98,0.68,0.43,0.2,0.31,0.29,0.54,0.7,0.09,0.63,0.3,0.41,0.48,0.53,0.76,0.68,0.08,0.35
ikvm.csv,0.39,0.51,1.0,0.14,0.19,0.21,0.18,0.51,0.1,0.4,0.2,0.24,0.17,0.32,0.22,0.58,0.29,0.48
jaxen.csv,0.05,0.0,0.16,0.0,0.0,0.09,0.0,0.08,1.0,0.0,0.18,0.24,0.0,0.09,0.0,0.12,0.0,0.18
jcae.csv,0.3,0.03,0.0,1.0,0.11,0.11,0.35,0.27,0.36,0.19,0.37,0.0,0.08,0.09,0.07,0.08,0.07,0.06
levent.csv,0.73,0.63,0.57,0.24,0.25,0.42,0.56,0.98,0.19,0.48,0.3,0.36,0.5,0.47,0.64,0.77,0.11,0.56
nicepress.csv,0.36,0.49,0.37,0.12,0.35,0.39,0.22,0.4,0.0,1.0,0.15,0.31,0.28,0.07,0.48,0.41,0.03,0.47
pnotepad.csv,0.81,0.63,0.59,0.2,0.28,0.31,0.58,0.73,0.13,0.59,0.27,0.49,0.52,0.48,0.75,0.98,0.13,0.72
qcad2.csv,0.51,0.4,0.21,0.25,0.29,0.23,0.98,0.69,0.13,0.3,0.18,0.37,0.24,0.57,0.59,0.47,0.01,0.4
qedo.csv,0.0,0.17,0.0,0.0,0.0,0.0,0.06,0.31,0.0,0.14,0.0,0.08,0.21,0.0,0.22,0.21,0.98,0.0
quarkplusplus.csv,0.44,0.39,0.43,0.25,0.17,0.4,0.44,0.08,0.1,0.33,0.39,0.37,0.96,0.46,0.53,0.41,0.09,0.47
sigil.csv,0.75,0.63,0.38,0.26,0.36,0.42,0.63,0.6,0.17,0.56,0.29,0.47,0.54,0.44,0.96,0.67,0.06,0.43
xcsoar.csv,0.74,0.99,0.55,0.3,0.34,0.33,0.49,0.56,0.3,0.49,0.31,0.36,0.49,0.47,0.69,0.61,0.05,0.64
xuggle.csv,0.47,0.36,0.32,0.15,0.93,0.18,0.08,0.27,0.07,0.14,0.16,0.42,0.21,0.5,0.46,0.39,0.11,0.58
