,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.22,0.82,0.11,0.39,0.23,0.33,0.36,0.5,0.0,0.13,0.0,0.17,0.33,0.24,0.17
chaperon.csv,0.57,0.45,0.28,0.67,0.2,0.2,0.5,0.5,1.0,0.48,1.0,0.56,0.33,0.12,0.58
co-ode-owl-plugins.csv,0.33,0.86,0.67,0.22,0.7,0.77,0.64,1.0,0.25,0.26,1.0,0.41,0.33,0.42,0.0
e-bio-flow.csv,0.12,0.73,0.06,0.44,0.34,0.67,0.27,0.5,0.0,0.22,1.0,0.4,0.0,0.27,0.21
free-evolution.csv,0.53,0.91,0.39,0.83,0.54,0.7,0.54,1.0,0.75,0.87,1.0,0.58,0.33,0.58,0.67
jaxlib.csv,0.12,0.23,0.72,0.06,0.78,0.23,0.3,1.0,0.5,0.61,0.0,0.43,0.33,0.52,0.08
jmonkeyengine.csv,0.84,0.32,0.44,0.61,0.59,0.57,0.8,0.5,0.75,0.48,0.0,0.86,1.0,0.76,0.25
jmule.csv,0.31,0.86,0.83,0.89,0.62,0.7,0.7,1.0,0.25,0.61,1.0,0.57,0.67,0.52,0.83
kaffeine.csv,0.86,0.73,0.39,0.89,0.77,0.77,0.78,1.0,0.75,0.87,1.0,0.88,1.0,0.7,0.79
nodal.csv,0.47,0.36,0.11,0.61,0.54,0.37,0.61,1.0,0.25,0.61,0.0,0.55,0.33,0.45,0.21
ogrehg.csv,0.2,0.64,0.83,0.67,0.47,0.73,0.68,0.5,0.25,0.09,0.0,0.5,0.67,0.33,0.12
onotoa.csv,0.14,0.55,0.67,0.44,0.64,0.4,0.61,0.0,0.0,0.17,0.0,0.23,0.0,0.33,0.0
papertoolkit.csv,0.35,0.36,0.39,0.17,0.24,0.27,0.35,0.5,0.0,0.13,0.0,0.21,1.0,0.09,0.38
