,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.78,0.37,0.93,0.64,0.79,0.71,0.67,0.6,1.01,0.87,1.02,0.83,0.7,0.77,0.83
chaperon.csv,0.44,0.65,1.01,0.67,0.8,0.84,0.67,0.8,0.08,0.58,0.44,1.09,0.75,0.93,0.69
co-ode-owl-plugins.csv,0.68,0.88,0.34,0.88,0.64,0.69,0.7,0.65,0.9,0.76,0.63,0.59,0.68,0.66,1.0
e-bio-flow.csv,0.88,0.58,0.95,0.58,0.73,0.38,0.74,0.55,1.14,0.81,0.29,0.6,1.01,0.74,0.81
free-evolution.csv,0.54,0.78,0.95,0.93,0.68,0.79,0.63,0.92,0.33,0.76,0.79,0.42,0.76,0.61,0.8
jaxlib.csv,0.88,0.84,0.36,0.95,0.72,0.83,0.71,0.06,0.88,0.8,1.05,0.57,0.77,0.58,0.92
jmonkeyengine.csv,0.75,0.94,0.72,0.44,0.74,0.8,0.73,0.52,0.71,0.73,1.09,1.01,0.45,0.9,0.91
jmule.csv,0.72,0.66,0.79,0.87,0.84,0.65,0.62,0.96,1.03,0.69,0.49,0.43,0.57,0.64,0.2
kaffeine.csv,0.17,0.56,0.86,0.69,1.03,0.69,0.79,0.94,0.63,0.74,0.5,0.12,0.72,0.65,0.53
nodal.csv,0.9,0.66,0.91,0.63,0.78,0.7,0.82,0.73,0.79,0.44,1.02,0.45,0.67,0.8,0.79
ogrehg.csv,0.8,0.71,0.48,0.55,0.68,0.78,0.43,0.82,0.81,0.92,1.12,1.12,0.44,0.69,0.92
onotoa.csv,0.86,0.64,0.34,0.68,0.57,0.82,0.7,1.05,1.03,0.83,1.02,0.77,1.02,0.69,1.0
papertoolkit.csv,0.65,0.68,0.71,0.84,0.78,0.85,0.69,0.83,1.0,0.87,1.12,0.79,0.18,0.91,0.71
