,pf
exist.csv,0.16
proftp.csv,0.22
rtrt-on-gpu.csv,0.0
matrex.csv,0.49
amateur-scrolls.csv,0.09
ossbuild.csv,0.41
st-filteredstatistics.csv,0.08
pokenetonline.csv,0.08
java-gnome.csv,0.06
unflobtactical.csv,0.31
archive-crawler.csv,0.29
freedom-erp.csv,0.09
miranda-icq.csv,0.55
silvertree.csv,0.03
projectfactory.csv,0.12
autat.csv,0.12
quarkplusplus.csv,0.22
stemkit.csv,0.01
foursquared.csv,0.09
jasperreports.csv,0.21
m-a-d-n-e-s-s.csv,0.17
roolo.csv,0.05
frogatto.csv,0.0
mimosa.csv,0.17
amygdala.csv,0.09
irrlicht.csv,0.24
lcfizvtop.csv,0.15
grisbi.csv,0.14
elynx.csv,0.36
alpine.csv,0.34
mumble.csv,0.12
t-2.csv,0.32
jaolt.csv,0.07
libmesh.csv,0.22
all-plasm.csv,0.43
acdk.csv,0.29
bwapi.csv,0.06
modellus.csv,0.01
micomt.csv,0.03
mp-rechnungs-und-kundenverwaltung.csv,0.29
tcvp.csv,0.0
xstore.csv,0.17
bdbbasic.csv,0.59
tart.csv,0.25
echongl.csv,0.84
snakeyaml.csv,0.03
wheat.csv,0.0
dspace-gsoc.csv,0.21
yarp.csv,0.13
boost.csv,0.23
qse.csv,0.32
quarkplayer.csv,0.35
open-data-kit.csv,0.07
yafdotnet.csv,0.08
impala.csv,0.35
avisynth2.csv,0.45
xreal.csv,0.26
tycho.csv,0.0
nabu-library.csv,0.02
freewrl.csv,0.0
roller.csv,0.29
zabbix.csv,0.05
turbotrader-bos.csv,0.18
xpontus.csv,0.27
cascading.csv,0.06
omseek.csv,0.24
kindb.csv,0.06
panda3d.csv,0.21
gusanos.csv,0.03
truevision.csv,0.03
