,precision
exist.csv,0.74
proftp.csv,0.69
rtrt-on-gpu.csv,1.0
matrex.csv,0.62
amateur-scrolls.csv,0.43
ossbuild.csv,0.17
st-filteredstatistics.csv,0.83
pokenetonline.csv,0.91
java-gnome.csv,0.83
unflobtactical.csv,0.64
archive-crawler.csv,0.3
freedom-erp.csv,0.76
miranda-icq.csv,0.32
silvertree.csv,0.67
projectfactory.csv,0.62
autat.csv,0.33
quarkplusplus.csv,0.65
stemkit.csv,0.0
foursquared.csv,0.64
jasperreports.csv,0.2
m-a-d-n-e-s-s.csv,0.55
roolo.csv,0.33
frogatto.csv,1.0
mimosa.csv,0.74
amygdala.csv,0.4
irrlicht.csv,0.84
lcfizvtop.csv,0.22
grisbi.csv,0.94
elynx.csv,0.0
alpine.csv,0.11
mumble.csv,0.68
t-2.csv,0.11
jaolt.csv,0.87
libmesh.csv,0.29
all-plasm.csv,0.48
acdk.csv,0.53
bwapi.csv,0.89
modellus.csv,0.95
micomt.csv,0.67
mp-rechnungs-und-kundenverwaltung.csv,0.46
tcvp.csv,0.0
xstore.csv,0.61
bdbbasic.csv,0.38
tart.csv,0.08
echongl.csv,0.73
snakeyaml.csv,0.62
wheat.csv,1.0
dspace-gsoc.csv,0.43
yarp.csv,0.44
boost.csv,0.49
qse.csv,0.65
quarkplayer.csv,0.07
open-data-kit.csv,0.9
yafdotnet.csv,0.73
impala.csv,0.12
avisynth2.csv,0.03
xreal.csv,0.06
tycho.csv,0.0
nabu-library.csv,0.33
freewrl.csv,1.0
roller.csv,0.73
zabbix.csv,0.87
turbotrader-bos.csv,0.61
xpontus.csv,0.03
cascading.csv,0.91
omseek.csv,0.22
kindb.csv,0.96
panda3d.csv,0.31
gusanos.csv,0.88
truevision.csv,0.83
