,d2h
exist.csv,0.67
proftp.csv,0.45
rtrt-on-gpu.csv,0.9
matrex.csv,0.52
amateur-scrolls.csv,0.85
ossbuild.csv,0.6
st-filteredstatistics.csv,0.88
pokenetonline.csv,0.65
java-gnome.csv,0.91
unflobtactical.csv,0.67
archive-crawler.csv,0.75
freedom-erp.csv,0.81
miranda-icq.csv,0.61
silvertree.csv,0.92
projectfactory.csv,0.8
autat.csv,0.76
quarkplusplus.csv,0.51
stemkit.csv,1.0
foursquared.csv,0.71
jasperreports.csv,0.22
m-a-d-n-e-s-s.csv,0.55
roolo.csv,0.95
frogatto.csv,0.81
mimosa.csv,0.5
amygdala.csv,0.95
irrlicht.csv,0.69
lcfizvtop.csv,0.83
grisbi.csv,0.51
elynx.csv,1.06
alpine.csv,0.6
mumble.csv,0.34
t-2.csv,0.77
jaolt.csv,0.82
libmesh.csv,0.87
all-plasm.csv,0.61
acdk.csv,0.34
bwapi.csv,0.87
modellus.csv,0.79
micomt.csv,0.69
mp-rechnungs-und-kundenverwaltung.csv,0.53
tcvp.csv,1.0
xstore.csv,0.78
bdbbasic.csv,0.59
tart.csv,0.65
echongl.csv,0.85
snakeyaml.csv,0.7
wheat.csv,0.93
dspace-gsoc.csv,0.94
yarp.csv,0.85
boost.csv,0.67
qse.csv,0.38
quarkplayer.csv,0.73
open-data-kit.csv,0.65
yafdotnet.csv,0.69
impala.csv,0.73
avisynth2.csv,0.81
xreal.csv,0.48
tycho.csv,1.0
nabu-library.csv,0.99
freewrl.csv,0.96
roller.csv,0.55
zabbix.csv,0.49
turbotrader-bos.csv,0.49
xpontus.csv,0.27
cascading.csv,0.82
omseek.csv,0.51
kindb.csv,0.3
panda3d.csv,0.82
gusanos.csv,0.9
truevision.csv,0.74
