,f1
exist.csv,0.47
proftp.csv,0.64
rtrt-on-gpu.csv,0.18
matrex.csv,0.71
amateur-scrolls.csv,0.22
ossbuild.csv,0.26
st-filteredstatistics.csv,0.22
pokenetonline.csv,0.51
java-gnome.csv,0.16
unflobtactical.csv,0.49
archive-crawler.csv,0.3
freedom-erp.csv,0.31
miranda-icq.csv,0.45
silvertree.csv,0.14
projectfactory.csv,0.31
autat.csv,0.29
quarkplusplus.csv,0.59
stemkit.csv,0.0
foursquared.csv,0.4
jasperreports.csv,0.33
m-a-d-n-e-s-s.csv,0.51
roolo.csv,0.09
frogatto.csv,0.33
mimosa.csv,0.62
amygdala.csv,0.09
irrlicht.csv,0.5
lcfizvtop.csv,0.2
grisbi.csv,0.67
elynx.csv,0.0
alpine.csv,0.18
mumble.csv,0.68
t-2.csv,0.17
jaolt.csv,0.3
libmesh.csv,0.2
all-plasm.csv,0.52
acdk.csv,0.64
bwapi.csv,0.23
modellus.csv,0.34
micomt.csv,0.42
mp-rechnungs-und-kundenverwaltung.csv,0.5
tcvp.csv,0.0
xstore.csv,0.34
bdbbasic.csv,0.55
tart.csv,0.14
echongl.csv,0.8
snakeyaml.csv,0.4
wheat.csv,0.13
dspace-gsoc.csv,0.14
yarp.csv,0.24
boost.csv,0.42
qse.csv,0.72
quarkplayer.csv,0.11
open-data-kit.csv,0.51
yafdotnet.csv,0.44
impala.csv,0.18
avisynth2.csv,0.06
xreal.csv,0.11
tycho.csv,0.0
nabu-library.csv,0.02
freewrl.csv,0.07
roller.csv,0.62
zabbix.csv,0.64
turbotrader-bos.csv,0.57
xpontus.csv,0.06
cascading.csv,0.3
omseek.csv,0.31
kindb.csv,0.81
panda3d.csv,0.25
gusanos.csv,0.19
truevision.csv,0.4
