,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.42,0.85,0.9,0.57,1.0,0.5,0.84,0.68,0.47,0.56,0.52
azureus.csv,0.08,0.46,0.69,0.68,0.5,0.4,0.95,0.52,0.47,0.43,0.07
forester-atv.csv,0.01,1.0,0.07,0.14,0.0,0.0,0.07,0.08,0.12,0.14,0.23
gabel.csv,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.06,0.0,0.0
google-collections.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
javaprofiler.csv,0.48,0.73,0.62,0.65,0.88,0.7,0.91,0.85,0.47,0.68,0.99
mycila.csv,0.16,0.08,0.31,0.14,0.12,1.0,0.05,0.23,0.06,0.2,0.23
neodatis-odb.csv,0.26,0.65,0.48,0.95,0.38,0.2,0.3,0.2,0.59,0.47,0.59
pokenetonline.csv,0.66,0.65,0.72,0.46,0.75,0.7,0.8,1.0,0.76,0.52,0.35
rcp-company-uibindings.csv,0.49,0.92,0.97,0.86,1.0,0.9,0.7,0.97,0.41,1.0,0.53
servicestack.csv,0.36,0.73,0.59,0.59,0.75,0.2,0.27,0.53,1.0,0.36,0.28
