,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,1.0,0.43,1.0,0.36,0.17,0.15,0.3,0.73,0.47,0.97,0.8
azureus.csv,1.0,0.44,0.45,0.4,0.17,0.17,0.98,0.78,0.31,0.99,0.83
forester-atv.csv,0.5,0.93,1.0,0.5,0.0,0.0,0.17,1.0,0.67,0.97,0.89
gabel.csv,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
google-collections.csv,1.0,0.39,0.47,0.35,0.08,0.19,0.26,0.71,0.27,0.96,0.68
javaprofiler.csv,0.97,0.42,0.56,0.34,0.1,0.19,0.31,0.76,0.44,0.97,1.0
mycila.csv,1.0,0.22,0.32,0.26,0.04,1.0,0.23,0.78,0.11,1.0,0.46
neodatis-odb.csv,0.91,0.4,0.47,1.0,0.08,0.15,0.27,0.75,0.32,0.93,0.76
pokenetonline.csv,0.98,0.44,0.5,0.27,0.15,0.27,0.24,1.0,0.43,0.97,0.87
rcp-company-uibindings.csv,1.0,0.38,0.51,0.34,0.11,0.19,0.34,0.71,0.24,1.0,0.73
servicestack.csv,0.94,0.45,0.71,0.3,0.18,0.09,0.21,0.74,1.0,1.0,0.84
