,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,bigdata.csv,wsmt.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.61,0.45,0.45,0.69,0.77,0.81,0.54,0.45,0.57,0.54,0.72,0.51,0.47,0.5,0.48,0.57,0.43,0.68,0.84,0.46
apertium.csv,0.37,0.59,0.48,0.59,0.46,0.48,0.51,0.5,0.43,0.59,0.72,0.56,0.5,0.36,0.75,0.44,0.5,0.92,0.75,0.45
beast-mcmc.csv,0.73,0.71,0.47,0.8,0.64,0.52,0.59,0.75,0.55,0.62,0.66,0.63,0.43,0.44,0.8,0.5,0.6,0.83,0.62,0.45
bigdata.csv,0.52,0.93,0.49,0.44,0.47,0.46,0.52,0.44,0.41,0.43,0.85,0.49,0.5,0.53,0.41,0.43,0.5,0.43,0.57,0.7
cuberok.csv,0.42,0.49,0.4,0.48,0.43,0.54,0.39,0.61,0.47,0.42,0.46,0.48,0.42,0.37,0.57,0.43,0.37,0.63,0.51,0.35
exist.csv,0.73,0.62,0.68,0.86,0.57,0.47,0.62,0.0,0.59,0.93,0.76,0.89,0.45,0.48,0.75,0.42,0.9,0.76,0.5,0.6
icescrum.csv,0.61,0.78,0.61,0.96,0.57,0.67,0.57,0.5,0.53,0.47,0.75,0.86,0.75,0.37,0.75,0.6,0.44,0.61,0.58,0.58
jbasic.csv,0.83,0.84,0.58,0.67,0.8,0.88,0.57,0.57,0.6,0.58,0.65,0.56,0.52,0.64,0.86,0.6,0.85,0.69,0.67,0.64
jgnash.csv,0.98,0.92,0.92,0.95,0.93,0.62,0.94,0.9,0.96,0.94,0.75,0.91,0.71,0.85,0.73,0.76,0.79,0.78,0.83,0.54
jrefactory.csv,0.67,0.63,0.55,0.76,0.75,0.46,0.73,0.91,0.77,0.65,0.62,0.69,0.63,0.51,0.5,0.49,0.42,0.91,0.75,0.43
jsecurity.csv,0.72,0.45,0.51,0.82,0.74,0.58,0.63,0.47,0.65,0.93,0.52,0.6,0.54,0.63,0.56,0.58,0.82,0.53,0.58,0.57
libopenmetaverse.csv,0.36,0.4,0.42,0.49,0.47,0.55,0.39,0.44,0.48,0.45,0.49,0.44,0.51,0.39,0.38,0.46,0.34,0.49,0.47,0.33
mobicents.csv,0.57,0.49,0.43,0.62,0.58,0.45,0.52,0.46,0.57,0.46,0.64,0.53,0.45,0.36,0.8,0.51,0.55,0.64,0.71,0.4
mp-rechnungs-und-kundenverwaltung.csv,0.84,0.84,0.71,0.87,0.92,0.62,0.71,0.9,0.96,0.64,0.81,0.77,0.67,0.66,0.75,0.76,0.85,0.6,0.59,0.65
opendvr.csv,0.39,0.49,0.46,0.54,0.53,0.42,0.51,0.51,0.47,0.67,0.62,0.61,0.51,0.39,0.45,0.52,0.55,0.53,0.82,0.41
openefm.csv,0.52,0.62,0.42,0.57,0.54,0.67,0.52,0.6,0.57,0.59,0.46,0.8,0.55,0.47,0.7,0.55,0.45,0.71,0.88,0.5
sidekar.csv,0.38,0.56,0.38,0.41,0.52,0.41,0.41,0.49,0.38,0.48,0.53,0.5,0.44,0.35,0.52,0.38,0.4,0.45,0.65,0.33
wheat.csv,0.5,0.54,0.48,0.62,0.52,0.55,0.44,0.44,0.42,0.69,0.56,0.57,0.7,0.41,0.5,0.52,0.48,0.58,0.65,0.65
wsmt.csv,0.94,0.89,0.0,0.95,0.0,0.93,0.98,0.89,0.88,0.5,0.71,0.9,0.94,0.0,0.82,0.97,0.57,0.9,0.93,0.5
yarp0.csv,0.57,0.64,0.89,0.73,0.91,0.85,0.91,0.91,0.75,0.59,0.87,0.62,0.93,0.68,0.61,0.98,0.55,0.65,0.74,0.79
