,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,bigdata.csv,wsmt.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.59,0.52,0.55,0.48,0.41,0.32,0.59,0.49,0.58,0.55,0.27,0.62,0.61,0.61,0.44,0.57,0.45,0.98,0.35,0.7
apertium.csv,0.55,0.59,0.43,0.6,0.66,0.42,0.51,0.06,0.47,0.52,1.0,0.29,0.47,0.17,0.09,0.51,0.29,0.15,0.11,0.49
beast-mcmc.csv,0.91,0.53,0.47,0.38,0.38,0.49,0.43,0.55,0.47,0.25,0.26,0.47,0.59,0.62,0.09,0.49,0.17,0.49,0.36,0.69
bigdata.csv,0.59,0.18,0.48,0.7,0.48,0.57,0.44,0.42,0.63,0.09,0.23,0.53,0.49,0.5,0.28,1.0,0.43,0.09,0.55,0.37
cuberok.csv,0.61,0.61,0.35,0.66,0.72,0.5,0.65,0.99,0.75,0.66,0.62,0.45,0.67,0.39,0.41,0.58,0.33,0.38,0.47,0.66
exist.csv,0.58,0.4,0.29,0.36,0.35,0.64,0.41,0.0,0.36,0.19,0.28,0.22,0.96,0.51,0.09,0.48,0.07,0.31,0.21,0.57
icescrum.csv,0.64,0.35,0.35,0.27,0.39,0.26,0.46,0.45,0.48,0.69,0.28,0.23,0.3,0.62,0.13,0.36,0.22,0.37,0.21,1.0
jbasic.csv,0.48,0.28,0.6,0.45,0.42,0.26,0.51,0.39,0.57,0.95,0.46,0.65,0.44,0.46,0.09,0.47,0.13,0.48,0.5,0.49
jgnash.csv,0.21,0.25,0.14,0.21,0.17,0.36,0.24,0.21,0.97,0.17,0.1,0.35,0.38,0.27,0.36,0.26,0.11,0.4,0.06,0.48
jrefactory.csv,0.39,0.4,1.0,0.28,0.31,0.57,0.41,0.27,0.27,0.47,0.4,0.29,0.42,0.64,0.39,0.4,0.57,0.12,0.0,0.54
jsecurity.csv,0.41,0.5,0.48,0.96,0.31,0.5,0.5,0.52,0.5,0.19,0.44,0.34,0.56,0.54,0.43,0.53,0.13,0.63,0.26,0.52
libopenmetaverse.csv,0.2,0.23,0.47,0.17,0.3,0.88,0.3,0.38,0.5,0.24,0.54,0.5,0.5,0.41,0.16,0.44,0.0,0.64,0.22,0.13
mobicents.csv,0.53,0.6,0.69,0.4,0.49,0.51,0.98,0.75,0.5,0.57,0.27,0.54,0.59,0.62,0.17,0.53,0.2,0.63,0.27,0.62
mp-rechnungs-und-kundenverwaltung.csv,0.27,0.28,0.48,0.45,0.2,0.49,0.4,0.45,0.24,0.37,0.27,0.52,0.42,0.95,0.35,0.3,0.3,0.56,0.59,0.51
opendvr.csv,0.46,0.42,0.55,0.48,0.56,0.41,0.56,0.38,0.42,0.43,0.61,0.55,0.52,0.35,0.62,0.28,0.26,0.43,0.96,0.55
openefm.csv,0.67,1.0,0.5,0.52,0.58,0.35,0.6,0.31,0.58,0.49,0.43,0.41,0.53,0.62,0.56,0.55,0.38,0.57,0.47,0.69
sidekar.csv,0.66,0.4,0.46,0.73,0.98,0.6,0.61,0.69,0.72,0.67,0.43,0.53,0.57,0.55,0.39,0.54,0.32,0.56,0.57,0.72
wheat.csv,0.65,0.51,0.67,0.59,0.66,0.47,0.57,0.54,0.54,0.43,0.56,0.34,0.48,0.46,0.96,0.57,0.57,0.55,0.36,0.56
wsmt.csv,0.18,0.38,0.02,0.12,0.0,0.29,0.13,0.31,0.1,0.02,0.14,0.22,0.09,0.0,0.33,0.16,0.97,0.18,0.21,0.13
yarp0.csv,0.41,0.44,0.15,0.4,0.4,0.37,0.29,0.11,0.05,0.42,0.32,1.0,0.18,0.42,0.45,0.2,0.52,0.53,0.45,0.3
