,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,9.0,56.0,5.0,5.0,1.0,0.0,37.0
amateur-scrolls.csv,6.0,9.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,111.0,12.0,0.0,0.0,1.0,15.0
biopax.csv,0.0,0.0,5.0,5.0,4.0,1.0,0.0,5.0,9.0,167.0,1.0,2.0,0.0,0.0,67.0
crux-framework.csv,499.0,51.0,143.0,65.0,60.0,223.0,150.0,88.0,62.0,3583.0,208.0,101.0,90.0,53.0,0.0
exl.csv,0.0,3.0,2.0,1.0,3.0,0.0,3.0,0.0,5.0,123.0,0.0,4.0,1.0,0.0,35.0
ikvm.csv,0.0,0.0,2.0,5.0,1.0,0.0,0.0,2.0,2.0,42.0,0.0,0.0,0.0,0.0,12.0
irrlicht.csv,0.0,0.0,0.0,10.0,0.0,0.0,1.0,5.0,6.0,129.0,2.0,0.0,0.0,0.0,67.0
les-indemodables.csv,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,113.0,0.0,0.0,0.0,0.0,30.0
lportal.csv,0.0,0.0,6.0,11.0,0.0,0.0,1.0,13.0,17.0,0.0,2.0,0.0,2.0,0.0,111.0
ns-3-dev-def-routing.csv,0.0,0.0,7.0,2.0,3.0,0.0,1.0,2.0,8.0,166.0,0.0,0.0,1.0,0.0,36.0
qpe.csv,0.0,0.0,15.0,9.0,0.0,0.0,1.0,7.0,18.0,143.0,7.0,0.0,2.0,0.0,12.0
sigil.csv,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0,51.0,1.0,0.0,0.0,0.0,31.0
ultimairis.csv,0.0,0.0,7.0,3.0,0.0,0.0,0.0,5.0,15.0,171.0,0.0,0.0,2.0,0.0,64.0
unflobtactical.csv,53.0,2.0,4.0,7.0,0.0,0.0,6.0,0.0,14.0,137.0,3.0,10.0,0.0,1.0,30.0
xbg.csv,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,32.0,2.0,1.0,0.0,53.0,111.0
