,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,ng4j.csv,jmule.csv
fritzing.csv,0.66,0.78,0.74,0.6,0.76,0.75,0.5,0.0
jlinalg.csv,0.78,0.3,0.65,0.72,0.55,1.0,0.55,1.0
jmule.csv,0.62,0.72,0.85,0.79,0.84,1.0,0.75,0.92
knowledge.csv,0.78,0.94,0.83,0.91,0.84,0.75,0.65,0.75
massiv.csv,0.12,0.24,0.32,0.0,0.0,1.0,0.1,0.17
ng4j.csv,0.22,0.08,0.62,0.33,0.21,0.75,0.55,0.54
playerstage.csv,0.58,0.68,0.89,0.72,0.74,0.5,0.85,0.21
superwaba.csv,0.28,0.74,0.49,0.36,0.48,0.75,0.5,0.58
