,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.59,0.8,0.35,0.51,0.82,0.58,0.22,0.56,0.96,0.7
betoffice.csv,0.74,0.16,0.4,0.79,0.95,0.78,0.64,0.72,0.77,0.77
bnetd.csv,1.0,0.96,0.95,0.86,0.36,0.49,1.0,0.67,0.96,0.8
graphmak.csv,0.06,0.76,0.9,0.65,0.45,0.45,0.6,0.9,0.23,0.67
hazelcast.csv,0.66,0.92,0.55,0.6,0.73,0.95,0.53,0.46,0.92,0.8
megasquirtavr.csv,1.0,0.76,0.6,0.7,0.41,0.95,0.67,1.0,0.5,0.43
pdfedit.csv,0.56,0.48,0.65,0.79,0.45,0.73,0.22,0.67,0.54,0.87
stajistics.csv,0.89,0.36,0.05,0.81,0.91,0.8,0.47,0.77,0.88,0.73
twostep.csv,0.69,0.8,0.85,0.72,0.82,0.76,0.58,0.74,0.81,0.97
xharbour.csv,0.77,0.88,0.9,0.74,0.41,0.55,0.62,0.54,0.58,0.77
