,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.67,0.63,0.0,0.6,0.57,0.47,0.45,0.5,0.48,0.37,0.47,0.68,0.59,0.43
biopax.csv,0.72,0.0,0.09,0.0,0.62,0.59,0.6,0.24,0.43,0.0,0.48,0.33,0.0,0.82
gnupdate.csv,0.65,0.73,0.46,0.27,0.05,0.57,0.84,0.36,0.0,0.67,0.6,0.43,0.68,0.4
les-indemodables.csv,0.73,0.66,0.46,0.42,0.72,0.18,0.39,0.4,0.54,0.37,0.52,0.73,0.21,0.52
openxava.csv,0.55,0.29,0.69,0.51,0.49,0.38,0.45,0.51,0.45,0.88,0.66,0.59,0.26,0.12
ppcboot.csv,0.4,0.52,0.0,0.0,0.38,0.61,0.09,0.24,0.61,0.0,0.0,0.0,0.0,0.47
repositorium.csv,0.0,0.02,0.46,0.1,0.01,0.05,0.0,0.81,0.05,0.64,0.47,0.13,0.4,0.47
rsyslog.csv,0.74,0.58,0.34,0.57,0.68,0.49,0.44,0.56,0.48,0.17,0.52,0.28,0.0,0.18
simplewebservices.csv,0.0,0.51,0.72,0.33,0.05,0.05,0.05,0.0,0.05,0.24,0.73,0.0,0.67,0.34
ultimairis.csv,0.72,0.3,0.58,0.65,0.75,0.58,0.43,0.41,0.63,0.0,0.4,0.0,0.63,0.44
vars-redux.csv,0.71,0.51,0.8,0.76,0.59,0.27,0.36,0.49,0.37,0.05,0.65,0.65,0.55,0.39
wow-qrsk.csv,0.1,0.51,0.61,0.72,0.84,0.35,0.35,0.0,0.02,0.59,0.04,0.54,0.26,0.36
wxstudio.csv,0.64,0.31,0.36,0.59,0.31,0.51,0.57,0.55,0.45,0.0,0.64,0.25,0.05,0.27
xqilla.csv,0.05,0.14,0.15,0.38,0.35,0.14,0.12,0.36,0.22,0.99,0.34,0.04,0.18,0.17
