,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,stemkit.csv,all-plasm.csv,acdk.csv,mp-rechnungs-und-kundenverwaltung.csv,xinity.csv,gss.csv,linux-ntfs.csv,buddata-ebxml-registry.csv,libarchive.csv,jmule.csv
acdk.csv,0.47,0.39,0.29,0.05,0.24,0.29,0.6,0.48,0.94,0.2,0.49,0.77,0.62,0.46,0.27,0.6,0.23,0.42,0.2
all-plasm.csv,0.49,0.04,0.15,0.05,0.0,0.11,0.18,0.61,0.84,0.52,0.76,0.34,0.52,0.28,0.52,0.23,0.35,0.05,0.37
awemud.csv,0.69,0.68,0.41,0.25,0.57,0.23,0.68,0.57,0.37,0.44,0.28,0.22,0.62,0.43,0.44,0.44,0.52,0.36,0.14
buddata-ebxml-registry.csv,0.27,0.0,0.44,0.65,0.0,0.0,0.62,0.3,0.53,0.38,0.13,0.59,0.17,0.17,0.21,0.0,0.94,0.58,0.0
bullet.csv,0.64,0.48,0.35,0.66,0.36,0.69,0.59,0.31,0.38,0.71,0.39,0.68,0.5,0.4,0.21,0.49,0.22,0.47,0.58
dvd-create.csv,0.57,0.61,0.45,0.21,0.82,0.7,0.43,0.62,0.63,0.13,0.47,0.4,0.56,0.62,0.7,0.57,0.65,0.66,0.67
gbif-indexingtoolkit.csv,0.6,0.28,0.35,0.36,0.36,0.25,0.41,0.58,0.44,0.19,0.64,0.33,0.24,0.47,0.51,0.39,0.21,0.5,0.05
go.csv,0.67,0.74,0.48,0.32,0.46,0.56,0.76,0.51,0.66,0.61,0.53,0.77,0.58,0.57,0.51,0.55,0.54,0.65,0.67
gss.csv,0.51,0.32,0.21,0.52,0.72,0.44,0.65,0.51,0.71,0.54,0.0,0.48,0.09,0.4,0.75,0.6,0.77,0.67,0.0
jmule.csv,0.61,0.71,0.63,0.4,0.64,0.45,0.68,0.5,0.0,0.51,0.7,0.79,0.61,0.57,0.58,0.27,0.58,0.64,0.84
kwave.csv,0.66,0.0,0.54,0.0,0.0,0.57,0.65,0.57,0.78,0.57,0.0,0.53,0.3,0.4,0.72,0.59,0.57,0.0,0.44
libarchive.csv,0.68,0.73,0.45,0.28,0.47,0.61,0.69,0.5,0.72,0.48,0.27,0.76,0.48,0.17,0.51,0.45,0.83,0.69,0.6
linux-ntfs.csv,0.62,0.55,0.44,0.75,0.7,0.64,0.45,0.57,0.2,0.58,0.32,0.69,0.56,0.5,0.53,0.64,0.37,0.56,0.62
lsb.csv,0.68,0.51,0.4,0.78,0.48,0.58,0.46,0.4,0.79,0.69,0.35,0.61,0.48,0.44,0.34,0.65,0.19,0.61,0.44
mp-rechnungs-und-kundenverwaltung.csv,0.42,0.37,0.35,0.13,0.24,0.57,0.67,0.46,0.81,0.0,0.38,0.32,0.6,0.51,0.51,0.58,0.33,0.55,0.53
qcad2.csv,0.49,0.42,0.29,0.19,0.22,0.43,0.8,0.48,0.81,0.2,0.61,0.69,0.72,0.56,0.68,0.65,0.26,0.74,0.6
qtwin.csv,0.11,0.0,0.0,0.0,0.0,0.05,0.1,0.47,0.98,0.0,0.33,0.17,0.18,0.36,0.2,0.42,0.22,0.0,0.34
stemkit.csv,0.12,0.37,0.22,0.6,0.14,0.35,0.02,0.41,0.7,0.81,0.47,0.64,0.16,0.36,0.57,0.27,0.33,0.35,0.05
xinity.csv,0.43,0.0,0.48,0.0,0.0,0.37,0.42,0.59,0.19,0.2,0.65,0.24,0.47,0.78,0.2,0.42,0.55,0.05,0.62
