,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,stemkit.csv,all-plasm.csv,acdk.csv,mp-rechnungs-und-kundenverwaltung.csv,xinity.csv,gss.csv,linux-ntfs.csv,buddata-ebxml-registry.csv,libarchive.csv,jmule.csv
acdk.csv,0.45,0.59,0.78,0.95,0.88,0.59,0.48,0.5,0.64,0.92,0.42,0.41,0.48,0.39,0.88,0.38,0.77,0.72,0.88
all-plasm.csv,0.67,0.67,0.89,0.83,0.0,0.83,0.95,0.58,1.0,0.57,0.61,0.97,0.5,0.88,0.45,0.89,0.76,0.67,0.67
awemud.csv,0.39,0.47,0.42,0.83,0.38,0.8,0.44,0.43,0.66,0.35,0.75,0.83,0.51,0.57,0.48,0.46,0.45,0.75,0.86
buddata-ebxml-registry.csv,0.39,0.4,0.4,0.53,0.39,0.38,0.44,0.34,0.5,0.36,0.3,0.44,0.35,0.29,0.33,0.4,0.34,0.49,0.31
bullet.csv,0.38,0.49,0.42,0.62,0.61,0.41,0.52,0.7,0.99,0.4,0.36,0.49,0.46,0.6,0.34,0.52,0.92,0.6,0.39
dvd-create.csv,0.44,0.41,0.46,0.64,0.41,0.42,0.44,0.35,0.53,0.36,0.33,0.55,0.36,0.31,0.37,0.36,0.37,0.49,0.34
gbif-indexingtoolkit.csv,0.51,0.97,0.86,0.59,0.82,0.91,0.75,0.74,0.65,0.45,0.48,0.85,0.8,0.54,0.63,0.81,0.93,0.56,0.83
go.csv,0.43,0.46,0.52,0.71,0.51,0.4,0.43,0.35,0.54,0.49,0.3,0.48,0.34,0.34,0.44,0.35,0.44,0.53,0.35
gss.csv,0.36,0.39,0.39,0.64,0.38,0.35,0.45,0.35,0.47,0.41,0.3,0.42,0.35,0.29,0.44,0.35,0.35,0.47,0.3
jmule.csv,0.4,0.48,0.57,0.65,0.47,0.53,0.45,0.34,0.47,0.5,0.37,0.49,0.39,0.33,0.35,0.38,0.35,0.57,0.5
kwave.csv,0.42,0.4,0.71,0.55,0.39,0.43,0.47,0.33,0.55,0.37,0.31,0.44,0.34,0.29,0.33,0.38,0.33,0.44,0.31
libarchive.csv,0.37,0.4,0.4,0.88,0.4,0.35,0.45,0.35,0.5,0.52,0.31,0.45,0.37,0.3,0.34,0.34,0.38,0.47,0.36
linux-ntfs.csv,0.35,0.45,0.4,0.63,0.35,0.43,0.56,0.5,1.0,0.39,0.31,0.45,0.48,0.36,0.33,0.46,0.55,0.5,0.35
lsb.csv,0.34,0.51,0.45,0.56,0.4,0.48,0.55,0.59,0.7,0.62,0.33,0.54,0.66,0.4,0.37,0.46,0.91,0.59,0.5
mp-rechnungs-und-kundenverwaltung.csv,0.5,0.63,0.52,0.88,0.82,0.35,0.51,0.48,0.54,0.0,0.29,0.88,0.46,0.35,0.61,0.38,0.74,0.5,0.33
qcad2.csv,0.51,0.58,0.9,0.94,0.92,0.45,0.48,0.52,0.7,0.86,0.34,0.47,0.4,0.38,0.48,0.41,0.88,0.51,0.55
qtwin.csv,0.89,0.0,0.0,0.0,0.0,0.83,0.86,0.56,1.0,0.0,0.8,0.98,0.96,0.7,0.83,0.5,0.93,0.0,0.86
stemkit.csv,0.94,0.7,0.75,0.7,0.92,0.68,0.75,0.92,0.94,0.65,0.33,0.48,0.95,0.67,0.63,0.85,0.91,0.92,0.0
xinity.csv,0.75,0.42,0.94,0.64,0.47,0.76,0.76,0.41,0.68,0.77,0.4,0.47,0.37,0.37,0.36,0.54,0.42,0.48,0.45
