,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.26,0.35,0.32,0.0,0.55,0.81,0.32,0.52,0.57,0.44,0.73,0.39
archive-crawler.csv,0.36,0.36,0.4,0.08,0.71,0.69,0.64,0.51,0.57,0.46,0.57,0.46
blue-c.csv,0.33,0.56,0.22,0.0,0.71,0.81,0.62,0.62,0.63,0.39,0.68,0.39
dynalloy.csv,0.28,0.68,0.19,0.05,0.57,0.6,0.5,0.53,0.62,0.42,0.59,0.26
jcae.csv,0.4,0.23,0.53,0.07,0.35,0.69,0.47,0.48,0.52,0.48,0.48,0.37
kmatplot.csv,0.58,0.34,0.24,0.39,0.06,0.68,0.5,0.45,0.43,0.46,0.51,0.36
mscore.csv,0.35,0.53,0.2,0.29,0.68,0.78,0.75,0.7,0.65,0.49,0.61,0.42
nosleepsoftware.csv,0.12,0.0,0.0,0.56,0.0,0.0,0.33,0.12,0.1,0.14,0.0,0.0
openmalaria.csv,0.38,0.46,0.21,0.36,0.7,0.73,0.74,0.74,0.63,0.45,0.54,0.36
popeye-chess.csv,0.38,0.4,0.18,0.34,0.68,0.67,0.7,0.59,0.69,0.48,0.62,0.35
riff-evolve.csv,0.4,0.52,0.22,0.0,0.68,0.54,0.55,0.44,0.71,0.37,0.55,0.46
virtuoso.csv,0.33,0.54,0.19,0.41,0.71,0.71,0.7,0.62,0.66,0.46,0.55,0.51
