,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.41,0.31,0.81,0.62,0.62,1.0,0.71,0.5,0.2,0.86,0.67,0.33
bigdata.csv,0.6,0.63,0.32,0.28,0.47,0.25,0.05,0.35,0.98,0.49,0.44,0.36
calcubetimer.csv,0.33,0.16,0.54,0.93,0.28,0.0,0.06,0.38,0.45,0.43,0.06,0.35
jas.csv,0.37,0.06,0.5,0.07,0.47,1.0,0.58,0.05,0.47,0.27,0.15,0.13
jbpm.csv,0.17,0.01,0.05,0.02,0.12,0.0,0.0,0.15,0.02,0.05,0.09,0.01
jgossipforum.csv,0.57,0.26,0.3,0.06,0.22,0.25,0.07,0.0,0.27,0.05,0.03,0.16
joustsim.csv,0.38,0.68,0.85,0.27,0.27,0.25,0.27,0.12,0.57,0.38,0.38,0.62
madman.csv,0.7,0.5,0.46,0.27,0.42,0.5,0.37,0.6,0.22,0.03,0.72,0.43
mule.csv,0.59,0.4,0.15,0.62,0.41,0.5,0.2,0.2,0.55,0.16,0.21,0.39
nunit.csv,0.65,0.1,0.21,0.37,0.43,0.5,0.27,0.23,0.53,0.35,0.5,0.3
piccolo2d.csv,0.59,0.11,0.2,0.28,0.28,0.0,0.0,0.27,0.27,0.14,0.05,0.14
sblim.csv,0.13,0.37,0.18,0.12,0.02,0.0,0.06,0.12,0.84,0.03,0.05,0.11
