,net-snmp.csv,fontforge.csv,k3d.csv,patterntesting.csv,massiv.csv,t-2.csv,xreal.csv
fontforge.csv,0.95,0.52,0.94,0.5,0.6,0.75,0.56
k3d.csv,0.86,0.0,0.97,0.0,0.97,0.94,0.95
massiv.csv,0.0,0.0,0.0,0.0,0.75,0.0,0.0
net-snmp.csv,0.56,0.31,0.67,0.47,0.62,0.53,0.54
patterntesting.csv,0.4,0.5,0.62,0.57,0.57,0.5,0.51
t-2.csv,0.43,0.41,0.45,0.59,0.45,0.99,0.39
xreal.csv,0.0,0.0,0.75,0.0,0.96,0.0,0.8
