,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.77,0.7,0.75,0.81,0.03,0.85,0.99,0.8,1.0,0.72,0.96,0.67,0.76,0.75
flylinkdc.csv,0.0,0.86,0.74,0.68,0.68,0.84,0.36,0.98,0.73,0.83,0.79,0.79,0.78,0.9
grisbi.csv,0.64,0.74,0.68,0.96,0.59,0.93,0.76,0.86,0.0,0.97,0.92,0.42,0.76,0.88
jaolt.csv,0.78,0.81,0.64,0.96,0.56,0.74,0.57,0.92,0.72,0.04,0.85,0.55,0.76,0.66
maidsafe-dht.csv,0.84,1.01,0.07,0.73,0.93,0.91,0.76,0.95,0.89,0.92,1.0,0.93,1.0,0.88
mimosa.csv,0.83,0.58,0.67,0.71,0.78,0.59,0.72,0.03,0.67,0.6,0.75,0.79,0.82,0.81
n2cms.csv,0.59,0.02,0.62,0.92,0.58,0.83,0.5,0.78,0.57,0.63,0.91,0.67,0.86,0.52
nassp.csv,0.85,0.91,0.65,0.95,0.82,0.91,0.17,0.83,0.85,0.71,1.0,0.94,0.8,0.81
nug.csv,0.79,0.7,1.01,0.18,0.89,0.65,0.64,0.71,1.11,0.7,0.78,0.83,0.85,0.81
quantlib.csv,0.82,0.76,0.73,0.67,0.72,0.81,0.76,0.66,0.68,0.85,0.62,0.61,0.0,1.03
red5.csv,0.77,0.74,0.63,0.68,0.9,0.0,0.59,0.7,0.98,0.59,0.93,0.97,0.57,0.72
super-tux.csv,0.98,0.93,1.0,1.0,1.0,0.83,0.98,0.44,1.0,0.88,1.0,0.0,0.99,0.84
tcvp.csv,0.83,0.73,0.67,0.93,0.66,0.72,0.65,1.01,0.75,0.9,0.0,0.9,0.64,0.82
zxing.csv,0.81,0.67,0.67,0.94,0.6,0.66,0.81,0.77,0.37,0.6,0.81,0.52,0.75,0.0
