,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.4,0.89,0.34,0.3,0.44,0.45,0.44,0.09,0.34,0.3
libtorrent.csv,0.67,0.43,0.65,0.67,0.5,0.72,0.65,0.62,0.67,0.58
mcmc-jags.csv,0.52,0.58,0.58,0.88,0.63,0.61,0.66,0.54,0.54,0.65
nebuladevice.csv,0.42,0.17,0.0,0.56,0.0,0.47,0.47,0.0,0.73,0.74
olap-navigator.csv,0.86,0.45,0.82,0.57,0.65,0.45,0.56,0.59,0.71,0.8
pidgin.csv,0.49,0.54,0.52,0.16,0.75,0.46,0.58,0.71,0.38,0.63
salasaga.csv,0.48,0.58,0.46,0.62,0.63,0.44,0.72,0.77,0.24,0.75
sepgsql.csv,0.66,0.47,0.79,0.31,0.68,0.4,0.56,0.54,0.09,0.79
xstore.csv,0.52,0.36,0.13,0.45,0.65,0.35,0.71,0.64,0.42,0.54
xtreemfs.csv,0.73,0.54,0.67,0.62,0.48,0.55,0.69,0.61,0.16,0.84
