,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.67,0.56,0.57,0.86,0.68,0.5,0.72,0.55,0.53,0.64
libtorrent.csv,0.51,0.48,0.39,0.56,0.38,0.39,0.46,0.53,0.37,0.31
mcmc-jags.csv,0.49,0.47,0.49,0.65,0.38,0.39,0.44,0.5,0.4,0.34
nebuladevice.csv,0.54,0.82,0.0,0.45,0.0,0.55,0.62,0.0,0.57,0.4
olap-navigator.csv,0.6,0.56,0.6,0.65,0.44,0.54,0.6,0.46,0.47,0.36
pidgin.csv,0.48,0.37,0.67,0.67,0.33,0.51,0.47,0.46,0.88,0.47
salasaga.csv,0.4,0.35,0.62,0.53,0.4,0.53,0.45,0.44,0.83,0.36
sepgsql.csv,0.63,0.5,0.59,0.86,0.42,0.59,0.55,0.64,0.8,0.42
xstore.csv,0.4,0.56,0.41,0.67,0.35,0.67,0.43,0.42,0.51,0.31
xtreemfs.csv,0.48,0.44,0.54,0.66,0.39,0.47,0.47,0.53,0.94,0.37
