,paintown.csv,triplea.csv,fbmanager.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,itext.csv,powerfolder.csv,fido.csv,megameknet.csv,fityk.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.04,0.41,0.12,0.58,0.19,0.96,0.49,0.67,0.07,0.68,0.6,0.0,0.43,0.11,0.44,0.29,0.51,0.34,0.41
fbmanager.csv,0.38,0.34,0.94,0.66,0.31,0.26,0.65,0.71,0.33,0.56,0.4,0.5,0.51,0.52,0.35,0.42,0.44,0.24,0.6
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fityk.csv,0.56,0.44,0.68,0.59,0.26,0.3,0.63,0.52,0.55,0.32,1.0,0.5,0.57,1.0,0.3,0.5,0.25,0.41,0.55
fleet-simulator.csv,1.0,0.94,0.97,0.97,0.93,1.0,0.95,0.96,1.0,1.0,1.0,1.0,0.91,0.95,1.0,0.91,0.97,0.9,0.94
freenet.csv,0.54,0.66,0.65,0.98,0.51,0.59,0.63,0.85,0.48,0.59,1.0,0.5,0.61,0.77,0.65,0.52,0.6,0.64,0.7
geogebra.csv,0.26,0.38,0.18,0.41,0.18,0.3,0.38,0.42,0.21,0.5,0.4,0.5,0.39,0.14,0.31,0.39,0.95,0.16,0.29
google-caja.csv,0.63,0.69,0.79,0.79,0.7,0.89,1.0,0.83,0.64,0.74,1.0,1.0,0.83,0.77,0.85,0.8,0.84,0.69,0.79
hibernate.csv,0.21,0.56,0.24,0.42,0.59,0.67,0.54,0.5,0.17,0.59,0.8,0.0,0.54,0.18,0.33,0.93,0.51,0.76,0.37
itext.csv,0.31,0.62,0.24,0.46,0.28,0.3,0.38,0.31,0.24,0.97,0.8,0.0,0.51,0.23,0.28,0.32,0.58,0.33,0.41
k3b.csv,0.68,0.66,0.82,0.71,0.43,0.59,0.6,0.79,1.0,0.88,1.0,0.5,0.72,0.57,0.52,0.56,0.75,0.6,0.66
megameknet.csv,0.43,0.5,0.41,0.56,0.35,0.3,0.29,0.42,0.64,0.74,0.6,0.5,0.94,0.25,0.52,0.35,0.65,0.88,0.39
myfaces.csv,0.25,0.28,0.21,0.64,0.64,0.3,0.5,0.94,0.09,0.18,0.2,0.5,0.26,0.07,0.8,0.64,0.39,0.16,0.46
onotoa.csv,0.6,0.31,0.68,0.77,1.0,0.78,0.63,0.56,0.57,0.71,0.2,1.0,0.84,0.82,0.7,0.81,0.58,0.29,0.69
paintown.csv,0.99,0.56,0.44,0.69,0.76,0.33,0.68,0.77,0.57,0.35,0.8,0.25,0.62,0.41,0.67,0.71,0.73,0.4,0.75
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0
triplea.csv,0.57,1.0,0.65,0.89,0.55,0.81,0.73,0.88,0.66,0.56,1.0,1.0,0.61,0.55,0.94,0.65,0.73,0.83,0.75
xamj.csv,0.59,0.72,0.68,0.76,0.57,0.48,0.63,0.6,0.53,0.62,0.8,0.5,0.61,0.55,0.61,0.53,0.59,0.72,0.91
