,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,ingex.csv,power-architect.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.44,0.7,0.53,0.52,0.29,0.4,0.5,0.43,0.46,0.76,0.48,0.5,0.56,0.5,0.03,0.45,0.31
apertium.csv,0.4,0.37,0.66,0.65,0.37,0.31,0.46,0.46,0.47,0.23,0.0,0.55,0.78,0.21,0.12,0.0,0.41
beast-mcmc.csv,0.0,0.28,0.26,0.11,0.13,0.63,0.27,0.34,0.28,0.11,0.66,0.34,0.48,0.21,0.18,0.32,0.19
cuberok.csv,0.55,0.57,1.0,0.57,0.42,0.57,0.58,0.03,0.37,0.94,0.48,0.58,0.34,0.64,0.26,0.89,0.5
icescrum.csv,0.17,0.15,0.18,0.15,0.16,0.29,0.24,0.29,0.34,0.35,0.22,0.11,0.44,0.29,0.21,0.19,0.0
ingex.csv,0.09,0.03,0.05,0.04,0.18,0.06,0.09,0.23,0.07,0.23,0.21,0.03,0.04,0.0,0.06,0.11,0.03
jbasic.csv,0.15,0.18,0.26,0.17,0.21,0.2,0.29,0.57,0.48,0.05,0.22,0.26,0.34,0.14,0.14,0.28,0.38
jgnash.csv,0.29,0.1,0.39,0.11,0.16,0.29,0.33,0.06,0.01,0.09,0.02,0.13,0.28,0.29,0.47,0.08,0.38
jrefactory.csv,0.52,0.21,0.05,0.48,0.45,0.51,0.37,0.26,0.43,0.65,0.41,0.18,0.22,0.57,0.3,0.08,0.41
jsecurity.csv,0.35,0.7,0.39,0.0,0.08,0.4,0.33,0.66,0.53,0.06,0.52,0.32,0.48,0.14,0.48,0.13,0.19
libopenmetaverse.csv,0.73,0.46,0.87,0.82,0.74,0.0,0.86,0.46,0.88,0.68,0.55,0.68,0.84,0.29,0.56,0.66,0.81
mobicents.csv,0.33,0.3,0.5,0.28,0.24,0.4,0.01,0.46,0.3,0.26,0.19,0.16,0.54,0.57,0.47,0.21,0.47
opendvr.csv,0.62,0.54,0.55,0.36,0.58,1.0,0.53,0.17,0.69,0.36,0.38,0.39,0.54,0.5,0.73,0.02,0.62
openefm.csv,0.22,0.0,0.53,0.6,0.29,0.26,0.38,0.23,0.4,0.35,0.72,0.16,0.12,0.21,0.15,0.04,0.19
power-architect.csv,0.69,0.85,0.71,0.77,0.68,0.97,0.84,0.77,0.6,0.77,0.64,0.74,0.62,0.0,0.68,0.58,0.78
sidekar.csv,0.55,0.31,0.66,0.4,0.0,0.51,0.49,0.34,0.48,0.5,0.38,0.26,0.56,0.64,0.35,0.32,0.47
yarp0.csv,0.47,0.43,0.29,0.55,0.47,0.4,0.31,0.23,0.32,0.62,0.38,0.0,0.5,0.43,0.33,0.23,0.28
