,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv
ikvm.csv,0.42,0.9,0.28,0.3,0.43,0.4,0.44
libtorrent.csv,0.65,0.43,0.73,0.64,0.3,0.79,0.6
mcmc-jags.csv,0.51,0.61,0.56,0.92,0.63,0.59,0.62
olap-navigator.csv,0.86,0.44,0.79,0.57,0.62,0.41,0.56
pidgin.csv,0.53,0.48,0.45,0.0,0.74,0.41,0.56
sepgsql.csv,0.61,0.47,0.81,0.31,0.65,0.4,0.56
xstore.csv,0.52,0.36,0.09,0.52,0.58,0.38,0.71
