,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.81,0.78,0.57,0.95,0.48,0.54,0.74,0.26,0.78,0.96,0.45,0.67,0.38,0.8,0.92,0.5
galaxium.csv,0.39,0.38,0.6,0.33,0.52,0.52,0.54,0.24,0.42,0.49,0.41,0.45,0.43,0.41,0.59,0.4
hydrate.csv,0.37,0.46,0.4,0.41,0.41,0.49,0.44,0.25,0.49,0.39,0.44,0.41,0.35,0.45,0.47,0.48
ivef-sdk.csv,0.44,0.48,0.62,0.48,0.6,0.61,0.7,0.0,0.47,0.67,0.75,0.58,0.5,0.8,0.51,0.0
jmri.csv,0.53,0.57,0.52,0.64,0.59,0.79,0.51,0.97,0.65,0.77,0.8,0.62,0.75,0.83,0.86,0.69
jython.csv,0.47,0.57,0.89,0.5,0.54,0.48,0.43,0.98,0.63,0.5,0.49,0.73,0.59,0.67,0.42,0.5
kdenlive.csv,0.38,0.42,0.43,0.5,0.37,0.7,0.5,0.26,0.48,0.43,0.39,0.48,0.32,0.39,0.52,0.34
ninject.csv,0.95,0.93,0.62,0.61,0.74,0.67,0.0,0.67,0.86,0.57,0.0,0.53,0.97,0.7,0.8,0.5
ondex.csv,0.53,0.54,0.5,0.48,0.64,0.83,0.55,0.26,0.94,0.95,0.65,0.78,0.67,0.71,0.68,0.63
opentibia.csv,0.71,0.48,0.71,0.87,0.51,0.67,0.43,0.96,0.0,0.83,0.79,0.86,0.8,0.51,0.89,0.45
runuomondains.csv,0.49,0.54,0.48,0.58,0.54,0.39,0.53,0.87,0.6,0.62,0.79,0.56,0.97,0.6,0.75,0.5
somap.csv,0.43,0.46,0.38,0.43,0.39,0.51,0.45,0.26,0.49,0.37,0.43,0.37,0.31,0.44,0.4,0.37
taverna.csv,0.66,0.68,0.56,0.67,0.69,0.63,0.58,0.25,0.88,0.63,0.59,0.75,0.59,0.67,0.9,0.79
tigermud.csv,0.88,0.86,0.42,0.86,0.54,0.67,0.62,0.24,0.92,0.45,0.64,0.45,0.43,0.56,0.5,0.37
unbvision.csv,0.44,0.4,0.49,0.43,0.47,0.47,0.5,0.65,0.51,0.44,0.43,0.91,0.33,0.42,0.57,0.37
x-ray-mule.csv,0.87,0.93,0.99,0.69,0.66,0.0,0.88,0.0,0.57,0.77,0.5,0.6,0.69,0.86,0.7,0.67
