,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.45,0.66,0.51,0.62,0.46,0.76,0.88,0.23,0.31,0.19,0.19,0.08,0.29,0.2,0.0,0.65
galaxium.csv,0.63,0.59,0.39,0.37,0.41,0.1,0.54,0.21,0.41,0.69,0.29,0.67,0.3,0.5,0.16,0.67
hydrate.csv,0.74,0.76,0.62,0.63,0.51,0.6,0.7,0.21,0.4,0.42,0.23,0.69,0.28,0.73,0.17,0.69
ivef-sdk.csv,0.73,0.73,0.6,0.81,0.38,1.0,0.25,0.09,0.42,0.21,0.0,0.64,0.28,0.2,0.08,0.0
jmri.csv,0.54,0.38,0.63,0.24,0.14,0.72,0.54,0.51,0.49,0.31,0.26,0.49,0.3,0.24,0.17,0.39
jython.csv,0.73,0.76,0.42,0.76,0.36,0.82,0.63,0.58,0.38,0.32,0.19,0.51,0.29,0.59,0.13,0.64
kdenlive.csv,0.75,0.71,0.53,0.52,0.52,0.14,0.37,0.23,0.53,0.51,0.26,0.57,0.33,0.55,0.18,0.81
ninject.csv,0.24,0.19,0.47,0.46,0.24,0.84,0.0,0.08,0.16,0.23,0.0,0.55,0.1,0.55,0.67,0.43
ondex.csv,0.59,0.49,0.57,0.54,0.2,0.15,0.25,0.21,0.43,0.25,0.32,0.38,0.39,0.19,0.17,0.46
opentibia.csv,0.37,0.82,0.45,0.49,0.4,0.06,0.64,0.13,0.0,0.16,0.16,0.33,0.29,0.71,0.29,0.67
runuomondains.csv,0.59,0.49,0.56,0.24,0.2,0.26,0.45,0.5,0.5,0.44,0.55,0.53,0.29,0.27,0.44,0.51
somap.csv,0.75,0.89,0.61,0.78,0.55,0.51,0.68,0.22,0.38,0.47,0.23,0.93,0.28,0.78,0.18,0.78
taverna.csv,0.53,0.6,0.4,0.26,0.64,0.09,0.67,0.13,0.25,0.28,0.22,0.5,0.33,0.34,0.0,0.43
tigermud.csv,0.44,0.47,0.6,0.11,0.44,0.03,0.33,0.13,0.14,0.4,0.27,0.72,0.21,0.73,0.35,0.8
unbvision.csv,0.69,0.62,0.5,0.53,0.32,0.56,0.42,0.46,0.62,0.43,0.28,0.24,0.33,0.48,0.36,0.76
x-ray-mule.csv,0.3,0.29,0.2,0.85,0.42,0.0,0.16,0.09,0.35,0.27,0.0,0.66,0.26,0.53,0.06,0.11
