,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv,beast-mcmc.csv
apertium.csv,0.1,0.0,0.08,0.08,0.09,0.05,0.3,,0.11,0.04,0.17,0.03,0.11,0.09,0.42,0.05,0.15
beast-mcmc.csv,0.61,0.49,0.48,0.19,0.48,0.5,0.48,0.36,0.62,0.57,0.2,0.39,0.31,0.41,0.68,0.41,
bigdata.csv,0.63,0.69,0.97,0.67,0.67,1.0,0.95,0.68,0.88,1.0,0.54,,0.6,0.59,0.63,0.84,0.62
codesmith.csv,0.1,0.41,0.75,0.44,0.48,0.64,0.54,0.08,0.48,0.79,0.52,0.3,0.63,0.68,0.37,,0.27
cuberok.csv,0.25,0.46,0.33,0.67,0.46,,0.33,0.6,0.81,0.39,0.48,0.57,0.83,1.0,0.37,0.17,0.47
exist.csv,0.96,0.92,0.86,0.94,0.98,1.0,0.95,0.84,,1.0,0.85,0.61,1.0,1.0,1.0,1.0,1.0
icescrum.csv,0.27,0.18,0.3,0.19,0.47,0.5,0.57,0.68,0.15,0.18,0.22,0.28,0.17,0.23,,0.09,0.61
jbasic.csv,0.69,0.82,0.97,0.86,0.91,0.77,,1.0,1.0,0.21,1.0,0.48,0.37,1.0,1.0,0.66,0.91
jrefactory.csv,,0.85,0.61,0.42,0.58,0.59,0.75,0.68,0.16,0.75,0.37,0.54,0.97,0.59,0.74,0.97,0.76
jsecurity.csv,0.2,,0.25,0.31,0.19,0.36,0.05,0.0,0.11,0.25,0.15,0.29,0.03,0.0,0.05,0.08,0.38
libopenmetaverse.csv,0.86,0.87,0.58,,0.78,0.45,0.81,0.4,0.16,0.79,0.2,0.91,0.54,0.23,0.58,0.27,0.94
mobicents.csv,0.49,0.44,0.55,0.97,,0.82,0.97,0.64,0.96,0.79,0.69,0.73,0.8,0.91,0.84,0.3,0.74
opendvr.csv,0.41,0.51,0.59,0.89,0.61,0.36,0.67,0.4,0.87,0.46,0.94,0.84,0.17,,0.58,0.12,0.68
power-architect.csv,0.78,0.95,0.73,0.94,0.87,1.0,0.73,0.92,1.0,1.0,,0.87,0.94,1.0,1.0,1.0,0.91
sidekar.csv,0.0,0.0,,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
wheat.csv,0.16,0.46,0.19,0.69,0.41,0.36,0.1,0.52,0.95,,0.65,0.4,0.23,0.59,0.58,0.91,0.5
wsmt.csv,0.08,0.1,0.03,0.08,0.26,0.0,0.24,0.08,0.15,0.07,0.19,0.25,,0.0,0.0,0.25,0.15
